"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"038","Coal or Wood",480,1
"960","Oil",13376,2
"038","None",1040,1
"305","Oil",11434,2
"971","Oil",6630,1
"931","Gas",5394,2
"400","None",27524,1
"903","Gas",90277,2
"910","Oil",5934,1.75
"038","Coal or Wood",3496,1
"931","Gas",2400,1
"900","Oil",7622,1
"941","Electric",1504,1
"038","Coal or Wood",2400,1
"954","Oil",4620,1
"954","Oil",1896,1
"322","None",2588,1.5
"010","Oil",6152,2
"430","Oil",14543,1
"383","Oil",576,1
"326","Gas",3528,1
"334","Coal or Wood",4060,1
"316","None",13824,3
"332","Coal or Wood",3960,1
"400","Oil",41660,1
"332","Coal or Wood",4800,1
"322","Electric",11370,1
"310","Gas",2632,1
"960","Oil",6749,2
"400","Coal or Wood",29618,2
"400","Oil",9420,1
"112","Oil",18702,2
"934","Oil",89712,2
"400","Oil",20846,1
"941","Oil",10320,1
"400","Oil",11267,1
"956","Coal or Wood",4968,1.75
"032","Oil",9528,1
"011","Oil",4740,2
"010","Oil",3750,2
"031","Coal or Wood",9674,1
"326","Oil",3817,2
"031","Oil",5174,2.5
"341","Gas",2592,2
"010","Oil",13800,2
"010","Oil",3194,2.5
"931","Oil",5300,1
"304","Oil",4052,2
"340","Electric",2322,2
"322","Electric",748,1
"322","Electric",7556,2
"342","Oil",2262,1
"342","Oil",5040,1
"325","Coal or Wood",3000,1
"430","Oil",1754,1
"341","Oil",2016,1
"322","Oil",2376,1
"369","Oil",2200,1
"400","Oil",15920,1
"322","Coal or Wood",2592,1
"931","Oil",9868,2
"338","Gas",4608,1
"935","Oil",6934,1
"340","Oil",720,1
"332","Oil",2924,1
"102","Oil",1717,1.5
"102","Gas",1287,1.5
"102","Gas",1302,1.5
"102","Gas",1228,1
"102","Gas",1388,1
"102","Gas",1472,1
"102","Gas",1456,1
"102","Gas",1310,1.5
"102","Gas",1422,1.5
"102","Gas",1354,1.5
"102","Gas",1568,1.75
"102","Gas",1354,1.75
"102","Gas",1576,1.75
"102","Gas",1341,1.5
"102","Gas",1657,1.5
"102","Gas",1558,1.75
"102","Gas",1558,1.75
"102","Gas",1188,1.5
"102","Gas",1188,1.75
"102","Gas",1428,1
"102","Gas",1428,1
"102","Gas",1717,1.5
"102","Oil",1674,2
"102","Oil",2382,2
"132",NA,0,NA
"101","Oil",2630,1
"101","Electric",2240,1.75
"132",NA,0,NA
"911",NA,0,NA
"101","Oil",1548,1
"950",NA,0,NA
"106",NA,0,NA
"101","Electric",594,1
"101","Coal or Wood",552,1
"132",NA,0,NA
"132",NA,0,NA
"101","Oil",1568,1.5
"101","Electric",888,1
"101","Oil",1932,1.5
"130",NA,0,NA
"101","Gas",672,1
"103","Gas",336,1
"101","Gas",1272,2
"101","Electric",1152,1
"101","Oil",2150,2
"101","Gas",777,1
"101","Gas",488,1
"101","Coal or Wood",960,2
"101","None",700,1
"958","None",567,1
"101","Oil",1608,1
"131",NA,0,NA
"101","Oil",2893,1.5
"101","Oil",1461,1.5
"950",NA,0,NA
"951",NA,0,NA
"131",NA,0,NA
"101","Gas",1620,1
"101","Gas",4000,1.5
"131",NA,0,NA
"130",NA,0,NA
"101","Gas",2326,2
"980",NA,0,NA
"131",NA,0,NA
"910",NA,0,NA
"910",NA,0,NA
"132",NA,0,NA
"950",NA,0,NA
"950",NA,0,NA
"131",NA,0,NA
"101","Oil",2100,2
"132",NA,0,NA
"132",NA,0,NA
"010","Oil",1380,1
"132",NA,0,NA
"930",NA,0,NA
"601",NA,0,NA
"101","Coal or Wood",6924,2.5
"910",NA,0,NA
"132",NA,0,NA
"800",NA,0,NA
"101","Oil",1872,2
"101","Oil",1440,2
"101","Oil",1638,1.5
"101","Oil",2028,2
"101","Oil",2240,2
"601",NA,0,NA
"132",NA,0,NA
"132",NA,0,NA
"132",NA,0,NA
"101","Oil",1440,1
"101","Gas",945,1.75
"132",NA,0,NA
