"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"101","Coal or Wood",318,"1"
"031","Coal or Wood",1020,"1"
"316","Coal or Wood",1800,"1"
"316","Coal or Wood",2200,"1"
"316","Coal or Wood",2200,"1"
"316","Coal or Wood",2850,"1"
"316","Coal or Wood",3800,"1"
"316","Coal or Wood",4350,"1"
"316","Coal or Wood",4750,"1"
"316","Coal or Wood",5040,"1"
"316","Coal or Wood",5800,"1"
"316","Coal or Wood",7305,"1"
"402","Coal or Wood",7424,"1"
"807","Coal or Wood",231,"1"
"915","Coal or Wood",300,"1"
"322","Coal or Wood",1047,"1"
"101","Coal or Wood",468,"1"
"101","Coal or Wood",400,"1"
"101","Coal or Wood",400,"1"
"931","Coal or Wood",255,"1"
"101","Electric",1458,"1.5"
"109","Electric",1314,"2"
"101","Electric",1742,"1"
"101","Electric",936,"1"
"101","Electric",1158,"1"
"101","Electric",1691,"1"
"105","Electric",2850,"2"
"105","Electric",1749,"1"
"031","Electric",3679,"1.5"
"109","Electric",565,"1.5"
"104","Electric",2074,"2"
"101","Electric",1032,"1.5"
"101","Electric",1632,"2"
"101","Electric",1786,"2"
"101","Electric",1790,"2"
"101","Electric",1998,"2.5"
"101","Electric",1138,"1"
"101","Electric",1182,"1"
"101","Electric",1976,"2"
"111","Electric",1652,"2"
"104","Electric",2470,"1"
"101","Electric",1272,"1.5"
"101","Electric",1450,"1"
"101","Electric",1860,"2"
"101","Electric",1144,"1"
"101","Electric",1260,"1"
"101","Electric",1335,"1"
"101","Electric",1824,"2"
"101","Electric",1222,"1"
"101","Electric",1204,"1"
"101","Electric",1222,"1"
"101","Electric",472,"1"
"101","Electric",504,"1"
"102","Electric",1080,"2"
"102","Electric",1080,"2"
"102","Electric",1080,"2"
"102","Electric",1080,"2"
"101","Electric",1512,"1.75"
"101","Electric",962,"2"
"101","Electric",1456,"2"
"101","Electric",1976,"1.75"
"101","Electric",2216,"2"
"101","Electric",1976,"1.75"
"101","Electric",2031,"2"
"101","Electric",2010,"2"
"101","Electric",1737,"1.5"
"101","Electric",2195,"2"
"101","Electric",2007,"2"
"111","Electric",1680,"2"
"111","Electric",1740,"2"
"101","Electric",722,"1.75"
