"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"102","Gas",1160,1
"102","Electric",1280,2
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1160,1
"102","Electric",675,1
"102","Electric",600,1
"102","Gas",1280,2
"102","Electric",600,1
"102","Electric",675,1
"102","Electric",675,1
"102","Electric",600,1
"102","Electric",675,1
"102","Electric",600,1
"102","Electric",600,1
"102","Electric",675,1
"102","Electric",675,1
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1280,2
"102","Gas",1160,2
"102","Gas",1160,2
"102","Gas",1160,2
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1160,1
"102","Gas",1280,2
"102","Electric",675,1
"102","Gas",1426,2
"102","Gas",1176,2
"102","Gas",1176,2
"102","Gas",1160,2
"102","Gas",1426,2
"102","Electric",600,1
"102","Gas",1160,2
"102","Gas",1426,2
"102","Gas",1160,2
"402","Gas",371220,1
"402","Gas",24352,1
"102","Gas",1176,2
"402","Gas",99490,1
"102","Gas",1426,2
"102","Gas",1160,2
"102","Gas",1160,2
"102","Gas",614,1
"102","Gas",614,1
"102","Gas",850,1
"102","Gas",884,1
"102","Gas",1086,1
"102","Gas",850,1
"102","Gas",884,1
"402","Gas",181070,1
"102","Gas",740,1
"102","Gas",1280,2
"102","Gas",1160,1
"102","Gas",850,1
"102","Gas",1170,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",614,1
"102","Gas",884,1
"102","Gas",850,1
"102","Gas",1170,1
"102","Gas",1086,1
"102","Gas",1280,2
"102","Gas",1280,2
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",614,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",884,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",614,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",884,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",670,1
"102","Gas",1086,1
"102","Gas",614,1
"102","Gas",740,1
"102","Gas",884,1
"102","Electric",1086,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",884,1
"102","Gas",1170,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",740,1
"102","Gas",884,1
"102","Gas",740,1
"102","Electric",1086,1
"102","Gas",850,1
"102","Gas",850,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",850,1
"102","Gas",884,1
"102","Gas",884,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",614,1
"102","Gas",614,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",884,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",1086,1
"102","Gas",850,1
"102","Gas",1170,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",614,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",884,1
"102","Gas",850,1
"102","Gas",884,1
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",740,1
"102","Gas",884,1
"102","Gas",850,1
"102","Gas",850,1
"102","Gas",1086,1
"102","Gas",614,1
"102","Gas",850,1
"102","Gas",740,1
"102","Gas",614,1
