"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"101","OIL",2544,"2.00"
"132",NA,NA,NA
"101","OIL",1780,"1.00"
"101","GAS",1230,"1.00"
"132",NA,NA,NA
"104","ELECTRIC",2684,"1.00"
"109","ELECTRIC",2418,"2.00"
"101","COAL/WOOD",2860,"2.00"
"130",NA,NA,NA
"101","COAL/WOOD",961,"1.00"
"130",NA,NA,NA
"109","COAL/WOOD",2133,"2.00"
"101","OIL",2848,"2.00"
"101","NONE",3048,"1.50"
"302","OIL",7049,"2.00"
"106",NA,NA,NA
"109","OIL",784,"1.00"
"130",NA,NA,NA
"109","OIL",1694,"1.00"
"109","OIL",1488,"1.00"
"101","OIL",3095,"2.00"
"130",NA,NA,NA
"130",NA,NA,NA
"106","NONE",0,"1.00"
"131",NA,NA,NA
"101","ELECTRIC",3818,"2.00"
"101","OIL",1104,"1.00"
"132",NA,NA,NA
"101","NONE",1656,"1.00"
"101","ELECTRIC",1117,"2.00"
"101","ELECTRIC",1056,"1.00"
"101","OIL",1284,"1.50"
"109","COAL/WOOD",576,"1.00"
"101","OIL",1256,"1.00"
"101","COAL/WOOD",400,"1.00"
"106",NA,NA,NA
"101","OIL",1240,"2.00"
"101","OIL",2704,"2.00"
"910","COAL/WOOD",448,"1.00"
"910",NA,NA,NA
"101","COAL/WOOD",1330,"1.00"
"104","OIL",3310,"1.00"
"101","OIL",1992,"2.00"
"109","OIL",1529,"2.00"
"101","OIL",2803,"2.00"
"101","COAL/WOOD",1880,"1.00"
"106",NA,NA,NA
"101","ELECTRIC",432,"1.00"
"101","OIL",1700,"1.00"
"132",NA,NA,NA
"101","GAS",2262,"1.50"
"101","COAL/WOOD",2860,"2.00"
"132",NA,NA,NA
"101","COAL/WOOD",576,"1.00"
"013","OIL",787,"1.50"
"109","OIL",1634,"2.00"
"101","OIL",1603,"1.00"
"106",NA,NA,NA
"109","OIL",2112,"1.00"
"101","GAS",1956,"2.00"
"101","GAS",1161,"1.75"
"101","COAL/WOOD",792,"1.00"
"132",NA,NA,NA
"101","COAL/WOOD",1274,"1.00"
"130",NA,NA,NA
"132",NA,NA,NA
"104","OIL",1446,"1.00"
"101","ELECTRIC",1092,"1.00"
"106","N/A",0,"1.00"
"104","OIL",2742,"1.00"
"101","OIL",1408,"1.00"
"101","OIL",1056,"1.00"
"132",NA,NA,NA
"109","OIL",1440,"2.00"
"101","OIL",3150,"1.50"
