Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Living_AreaGBA,Usrfld_208_Desc,Line_
605,    203,     33,      0,       ,24 TOWN LINE RD,3250,1,1,960,Electr Basebrd,1
606,    203,     34,      0,       ,14 TOWN LINE RD,3250,1,1,1961,Forced Air-Duc,1
1109,    230,     46,      0,       ,703 CHICOPEE ROW,9341,1,2.5,161690,Forced Air-Duc,1
1148,    231,     45,      0,       ,495 CHICOPEE ROW,0316,1,1,1920,Hot Air-no Duc,1
1260,    229,     34,      0,       ,66 NORTH ST,0130,2,1,576,Hot Water,1
1341,    246,     36,      0,       ,ISLAND POND RD,9541,1,1,361,None,1
1343,    246,     35,      0,       ,ISLAND POND RD,9541,1,1,4170,Forced Air-Duc,1
1578,    206,      8,      0,       ,305 TOWNSEND RD,9391,1,1.5,912,Hot Water,1
1586,    206,     10,      0,       ,TOWNSEND RD,9391,1,1,726,Forced Air-Duc,1
1677,    110,     29,      0,       ,445 MAIN ST,0310,1,1,4320,None,1
1747,    216,     86,      0,       ,592 MAIN ST,9512,1,1.75,3624,Forced Air-Duc,1
1763,    216,     93,      0,       ,536 MAIN ST,3760,1,1,4838,Forced Air-Duc,1
1773,    216,     99,      0,       ,468 MAIN ST ,3260,1,1,2873,None,1
1782,    112,     73,      0,       ,300 MAIN ST,3420,1,1.75,4793,Forced Air-Duc,1
1783,    112,     74,      0,       ,292 MAIN ST ,3420,1,1,2322,Forced Air-Duc,1
1784,    112,     71,      0,       ,308 MAIN ST,3410,1,1.75,3603,Forced Air-Duc,1
1785,    112,     72,      0,       ,306 MAIN ST,3400,1,1,2602,Forced Air-Duc,1
1800,    111,      4,      0,       ,80 CHAMPNEY ST ,9541,1,2.5,4650,Steam,1
1881,    110,     37,      0,       ,412 MAIN ST,4000,1,1,25895,Forced Air-Duc,1
1881,    110,     37,      0,       ,412 MAIN ST,4000,2,1,34132,Forced Air-Duc,1
1889,    110,      2,      0,       ,371-375 MAIN ST ,1120,1,2,7544,Hot Water,1
1889,    110,      2,      0,       ,371-375 MAIN ST ,1120,2,2,6940,Hot Water,1
1892,    110,     40,      0,       ,368 MAIN ST,0130,2,2,2400,Hot Water,1
1899,    110,     43,      0,       ,346 MAIN ST,9341,1,2,63655,Forced Air-Duc,1
1899,    110,     43,      0,       ,346 MAIN ST,9341,2,1,11880,Forced Air-Duc,1
1900,    110,      1,      0,       ,365 MAIN ST ,9602,1,1,14645,Steam,1
1902,    110,     42,      0,       ,342 MAIN ST ,9341,1,1,111583,Forced Air-Duc,1
1902,    110,     42,      0,       ,342 MAIN ST ,9341,2,1,99823,Forced Air-Duc,1
1927,    111,     27,      0,       ,139 HOLLIS ST,0130,2,1,361,Electr Basebrd,1
2008,    112,     70,      0,       ,318 MAIN ST,3250,1,1,2990,Forced Air-Duc,1
2027,    231,     91,      0,       ,CHICOPEE ROW ,9341,1,1,824,Hot Water,1
2030,    231,     90,      0,       ,370 CHICOPEE ROW,4000,1,1,10192,Forced Air-Duc,1
2231,    126,      8,      0,       ,541 LOWELL RD,9391,1,1,2127,Steam,1
2403,    103,      2,      0,       ,219 TOWNSEND RD,0400,1,1,10944,Steam,1
2403,    103,      2,      0,       ,219 TOWNSEND RD,0400,2,1,97271,Steam,1
2403,    103,      2,      0,       ,219 TOWNSEND RD,0400,3,2,29046,Steam,1
2403,    103,      2,      0,       ,219 TOWNSEND RD,0400,4,1,18701,Steam,1
2403,    103,      2,      0,       ,219 TOWNSEND RD,0400,5,2,14332,Steam,1
2419,    106,     38,      0,       ,163 WEST MAIN ST,9311,1,1,10795,Forced Air-Duc,1
2421,    106,     33,      0,       ,159 WEST MAIN ST ,9512,1,1,1466,Hot Air-no Duc,1
2423,    101,     16,      0,       ,1 PEPPERELL RD,3500,1,1,660,Forced Air-Duc,1
2431,    101,     23,      0,       ,37 WEST MAIN ST,9602,1,1,5210,Hot Water,1
2463,    106,     45,      0,       ,217 WEST MAIN ST,9311,1,1,4800,Hot Air-no Duc,1
2464,    101,     10,      0,       ,6 WEST MAIN ST,3400,1,2,2520,Steam,1
2465,    101,      9,      0,       ,8 WEST MAIN ST,1250,1,2,79181,Hot Water,1
2476,    101,      5,      0,       ,44 WEST MAIN ST,9351,1,1,3643,Hot Water,1
2483,    106,     15,      0,       ,94 WEST MAIN ST,0310,1,2,8496,Hot Air-no Duc,1
2524,    102,      1,      0,       ,CANNERY ROW,0410,1,1,2755,Hot Air-no Duc,1
2524,    102,      1,      0,       ,CANNERY ROW,0410,2,1,16407,Steam,1
2563,    102,     10,      0,       ,29 ST JAMES AVE,9602,1,1,4109,Forced Air-Duc,1
2572,    101,     12,      0,       ,3 WEST MAIN ST ,3160,1,1,720,None,1
2588,    101,     15,      0,       ,9 WEST MAIN ST,3250,1,1.5,2716,Hot Water,1
2878,    218,      6,      0,       ,398 WEST MAIN ST,3250,1,1,1812,Floor Furnace,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,2,2,109175,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,3,3,91702,Hot Water,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,4,1,33408,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,5,1,68570,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,6,1,31080,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,7,1,9745,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,8,1,21372,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,9,1,5060,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,10,1,6928,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,11,2,6032,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,12,3,15965,Steam,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,14,1,4008,None,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,15,1,13596,Forced Air-Duc,1
2914,    219,      9,      0,       ,282 FARMERS ROW,9410,20,1,3550,Forced Air-Duc,1
2946,    113,     83,      0,       ,21 ADAMS AVE ,1120,1,2,7526,Hot Water,1
2948,    113,     84,      0,       ,31 ADAMS AVE,3400,1,1,3420,Forced Air-Duc,1
2953,    113,     76,      0,       ,36 COURT ST ,3400,1,1,1107,Forced Air-Duc,1
2963,    112,      2,      0,       ,205-207 MAIN ST ,0130,2,2,2836,Hot Water,1
2964,    112,      1,      0,       ,201 MAIN ST,3400,1,2,6643,Forced Air-Duc,1
2976,    113,     65,      0,       ,195 MAIN ST,3250,1,1.75,2580,Forced Air-Duc,1
2983,    113,     59,      0,       ,20 STATION AVE ,3250,1,2,6765,Radiant,1
2985,    113,     61,      0,       ,173 MAIN ST,9311,1,2,11516,Hot Water,1
2989,    113,     51,      0,       ,STATION AVE,9711,1,2,7051,Forced Air-Duc,1
2993,    113,     48,      0,       ,167 MAIN ST ,3410,1,2,2343,Forced Air-Duc,1
2994,    113,     47,      0,       ,163 MAIN ST,3410,1,2,2640,Forced Air-Duc,1
2996,    113,     46,      0,       ,159-161 MAIN ST,3250,1,2,4252,Hot Water,1
2997,    113,     45,      0,       ,155-157 MAIN ST ,0311,2,2,1830,Forced Air-Duc,1
2999,    113,     43,      0,       ,145 MAIN ST,9341,1,2,16410,Steam,1
3000,    113,     42,      0,       ,143 MAIN ST,3210,1,1,7580,Forced Air-Duc,1
3003,    113,     41,      0,       ,127 MAIN ST,3250,1,1,7276,Hot Water,1
3016,    112,     94,      0,       ,218 MAIN ST ,9602,1,1,10452,Steam,1
3019,    112,     97,      0,       ,17 HOLLIS ST,4300,1,1.5,3510,Forced Air-Duc,1
3022,    112,    132,      0,       ,30 HOLLIS ST,3250,1,1,2800,Hot Water,1
3023,    112,    131,      0,       ,28 WILLOWDALE RD ,3310,1,1.5,4677,Hot Air-no Duc,1
