MBLU,Block,Lot,Unit,Location,Heat_Sys_Desc
    101,      2,    101,       ,58A WEST MAIN ST #101,Gas
    101,      2,    102,       ,58B WEST MAIN ST #102,Gas
    101,      2,    103,       ,58C WEST MAIN ST #103,Gas
    101,      2,    104,       ,58D WEST MAIN ST #104,Gas
    101,      2,    201,       ,58E WEST MAIN ST #201,Gas
    101,      2,    202,       ,58F WEST MAIN ST #202,Gas
    101,      2,    203,       ,58G WEST MAIN ST #203,Gas
    101,      2,    204,       ,58H WEST MAIN ST #204,Gas
    101,      2,    301,       ,56A WEST MAIN ST #301,Gas
    101,      2,    302,       ,56B WEST MAIN ST #302,Gas
    101,     18,      0,       ,17 WEST MAIN ST ,Gas
    101,     18,      1,       ,19 WEST MAIN ST ,Gas
    102,     44,      1,      A,73A PEPPERELL RD #A,Gas
    102,     44,      1,      B,73B PEPPERELL RD #B,Gas
    102,     44,      1,      C,73C PEPPERELL RD #C,Gas
    103,     20,    001,       ,79A KEMP ST #1,Oil
    103,     20,    002,       ,79B KEMP ST #2,Oil
    103,     21,    001,       ,81A KEMP ST #1,Oil
    103,     21,    002,       ,81B KEMP ST #2,Oil
    103,     35,      1,       ,8A BRADLEY DR #A,Gas
    103,     35,      2,       ,8B BRADLEY DR #B,Gas
    103,     35,      3,       ,8C BRADLEY DR #C,Gas
    103,     35,      4,       ,8D BRADLEY DR #D,Gas
    103,     35,      5,       ,8E BRADLEY DR #E,Gas
    103,     35,      6,       ,18A BRADLEY DR #A,Gas
    103,     35,      7,       ,18B BRADLEY DR #B,Gas
    103,     35,      8,       ,18C BRADLEY DR #C,Gas
    103,     35,      9,       ,18D BRADLEY DR #D,Gas
    103,     35,     10,       ,18E BRADLEY DR #E,Gas
    103,     35,     11,       ,22A BRADLEY DR #A,Gas
    103,     35,     12,       ,22B BRADLEY DR #B,Gas
    103,     35,     13,       ,22C BRADLEY DR #C,Gas
    103,     35,     14,       ,22D BRADLEY DR #D,Gas
    103,     35,     15,       ,26A BRADLEY DR #A,Gas
    103,     35,     16,       ,26B BRADLEY DR #B,Gas
    103,     35,     17,       ,26C BRADLEY DR #C,Gas
    103,     35,     18,       ,26D BRADLEY DR #D,Gas
    110,      3,    001,       ,391A MAIN ST #A,Gas
    110,      3,    002,       ,391B MAIN ST #B,Gas
    110,     22,    001,       ,195A MILL ST #1,Gas
    110,     22,    002,       ,195B MILL ST #2,Gas
    111,     23,      1,       ,71 CHAMPNEY ST #A,Gas
    111,     23,      2,       ,71 CHAMPNEY ST #B,Gas
    111,     23,      3,       ,71 CHAMPNEY ST #C,Gas
    111,     23,      4,       ,71 CHAMPNEY ST #D,Gas
    111,     64,      1,       ,118A HOLLIS ST #A,Gas
    111,     64,      2,       ,118B HOLLIS ST #B,Gas
    111,     64,      3,       ,118C HOLLIS ST #C,Gas
    112,    114,      0,       ,52 HOLLIS ST ,Gas
    112,    114,      1,       ,50 HOLLIS ST ,Gas
    112,    136,      0,       ,8-10 HOLLIS ST ,Oil
    112,    136,      0,       ,8-10 HOLLIS ST ,Oil
    112,    136,      0,       ,8-10 HOLLIS ST ,Oil
    113,      7,      1,       ,142A MAIN ST #A,Oil
    113,      9,      1,      0,134LL MAIN ST #LL,Oil
    113,      9,      1,      1,134-1A MAIN ST #1A,Oil
    113,      9,      1,      2,134-1B MAIN ST #1B,Oil
    113,      9,      1,      3,134-1C MAIN ST #1C,Oil
    113,      9,      2,      1,134-2A MAIN ST #2A,Gas
    113,      9,      2,      2,134-2B MAIN ST #2B,Gas
    113,      9,      2,      3,134-2C MAIN ST #2C,Gas
    113,      9,     18,      1,18A BLACKSMITH ROW #A,Oil
    113,      9,     18,      2,18B BLACKSMITH ROW #B,Oil
    113,      9,     18,      3,18C BLACKSMITH ROW #C,Oil
    113,      9,     19,      1,19A BLACKSMITH ROW #A,Oil
    113,      9,     19,      2,19B BLACKSMITH ROW #B,Oil
    113,      9,     21,      2,21A BLACKSMITH ROW #A,Oil
    113,      9,     21,      3,21B BLACKSMITH ROW #B,Oil
    113,      9,     22,      1,22A BLACKSMITH ROW #A,Gas
    113,      9,     22,      2,22B BLACKSMITH ROW #B,Gas
    113,      9,     22,      3,22C BLACKSMITH ROW #C,Gas
    113,      9,     24,      1,24A BLACKSMITH ROW #A,Gas
    113,      9,     25,      1,25A BLACKSMITH ROW #A,Gas
    113,      9,     25,      2,25B BLACKSMITH ROW #B,Gas
    113,      9,     25,      3,25C BLACKSMITH ROW #C,Gas
    113,      9,     27,      1,27A BLACKSMITH ROW #A,Gas
    113,     19,    001,       ,103-1 MAIN ST #1,Oil
    113,     19,    002,       ,105-2 MAIN ST #2,Oil
    113,     69,      0,      A,15A COURT ST ,Gas
    113,     69,      0,      B,15B COURT ST ,Gas
    115,     41,      1,       ,1A MAIN ST #A,Gas
    115,     41,      2,       ,1B MAIN ST #B,Gas
    118,      7,    001,       ,501A BOSTON RD,Electric
    118,      7,    002,       ,501B BOSTON RD,Electric
    118,      8,    001,       ,503A BOSTON RD,Electric
    118,      8,    002,       ,503B BOSTON RD ,Electric
    118,      9,      A,       ,505A BOSTON RD,Electric
    118,      9,      B,       ,505B BOSTON RD,Electric
    120,      2,     40,      1,58 HUMMINGBIRD LN #1,Gas
    120,      2,     40,      8,84 HUMMINGBIRD LN #8,Gas
    120,      2,     40,      9,88 HUMMINGBIRD LN #9,Gas
    120,      2,     40,     16,120 HUMMINGBIRD LN #16,Gas
    120,      2,     40,     17,35 HUMMINGBIRD LN #17,Gas
    120,      2,     40,     20,45 HUMMINGBIRD LN #18,Gas
    120,      2,     40,     21,75 HUMMINGBIRD LN #21,Gas
    120,      2,     40,     22,95 HUMMINGBIRD LN #22,Gas
    120,      2,     40,     2A,46A HUMMINGBIRD LN #2A,Gas
    120,      2,     40,     3B,46B HUMMINGBIRD LN #3B,Oil
    120,      2,     40,     4A,72A HUMMINGBIRD LN ,Gas
    120,      2,     40,     5B,72B HUMMINGBIRD LN #5B,Gas
    120,      2,     40,     6C,72C HUMMINGBIRD LN #6C,Gas
    120,      2,     40,     7D,72D HUMMINGBIRD LN #7D,Gas
    120,      2,     40,    10A,100A HUMMINGBIRD LN #10A,Gas
    120,      2,     40,    11B,100B HUMMINGBIRD LN #11B,Gas
    120,      2,     40,    12C,100C HUMMINGBIRD LN #12C,Gas
    120,      2,     40,    13D,100D HUMMINGBIRD LN #13D,Gas
    120,      2,     40,    14A,100E HUMMINGBIRD LN ,Gas
    120,      2,     40,    15B,108 HUMMINGBIRD LN ,Gas
    120,      2,     40,    18B,63B HUMMINGBIRD LN #18B,Oil
    120,      2,     40,    19A,63A HUMMINGBIRD LN #19A,Gas
    120,      2,     40,    23B,115B HUMMINGBIRD LN #23B,Gas
    120,      2,     40,    24A,115A HUMMINGBIRD LN #24A,Gas
    121,     28,    001,       ,663A BOSTON RD,Oil
    121,     28,    002,       ,663B BOSTON RD,Oil
    121,     60,      A,       ,584A BOSTON RD ,Oil
    121,     60,      B,       ,584B BOSTON RD,Oil
    122,      4,    001,       ,15A SUMMIT AVE #1,Oil
    122,      4,    002,       ,15B SUMMIT AVE #2,Oil
    122,     66,      0,       ,90 RIDGEWOOD AVE ,Oil
    122,     67,      1,       ,82 RIDGEWOOD AVE ,Gas
    122,     67,      2,       ,86 RIDGEWOOD AVE ,Gas
    124,     19,      1,       ,37A TAVERN RD ,Gas
    124,     19,      2,       ,37B TAVERN RD ,Gas
    124,     35,      0,      A,19A INDIAN RD ,Gas
    124,     35,      0,      B,19B INDIAN RD ,Gas
    125,     86,    001,       ,7A INDIAN RD #1,Oil
    125,     86,    002,       ,7B INDIAN RD #2,Oil
    126,     45,      1,       ,1A LOST LAKE DR #A,Oil
    126,     45,      2,       ,1B LOST LAKE DR #B,Oil
    127,     10,      1,      A,749A LOWELL RD #A,Gas
    127,     10,      2,      B,749B LOWELL RD #B,Gas
