Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Heat_Type_Desc,Living_AreaGBA,Line_
189,    125,     86,    001,       ,7A INDIAN RD #1,1020,1,2,Hot Water,1152,1
190,    125,     86,    002,       ,7B INDIAN RD #2,1020,1,2,Forced Air-Duc,882,1
499,    129,    134,      0,       ,47-1 MOUNTAIN LAKES TRL #1,1020,1,1,Hot Water,756,1
508,    129,    123,      A,       ,24A PINE TRL #A,1020,1,1.75,Hot Water,1008,1
509,    129,    123,      B,       ,24B PINE TRL #B,1020,1,1.75,Hot Water,936,1
779,    228,     51,    002,       ,411R NASHUA RD #2,1020,1,2,Hot Water,1064,1
946,    229,      9,    001,       ,434-1 NASHUA RD #1,1020,1,2,Hot Water,1056,1
947,    229,      9,    002,       ,434-2 NASHUA RD #2,1020,1,2,Forced Air-Duc,1056,1
1280,    247,      6,      1,       ,503A OLD DUNSTABLE RD #A,1020,1,2,Forced Air-Duc,2868,1
1597,    103,     20,    001,       ,79A KEMP ST #1,1020,1,2,Hot Water,1100,1
1598,    103,     20,    002,       ,79B KEMP ST #2,1020,1,2,Hot Water,1100,1
1599,    103,     21,    001,       ,81A KEMP ST #1,1020,1,2.5,Forced Air-Duc,1482,1
1600,    103,     21,    002,       ,81B KEMP ST #2,1020,1,2.5,Forced Air-Duc,1482,1
1813,    111,     64,      1,       ,118A HOLLIS ST #A,1020,1,2,Forced Air-Duc,1630,1
1890,    110,      3,    001,       ,391A MAIN ST #A,1020,1,2,Forced Air-Duc,1398,1
1891,    110,      3,    002,       ,391B MAIN ST #B,1020,1,2,Forced Air-Duc,1494,1
1940,    225,     11,    001,       ,68-1 COMMON ST #1,1020,1,1,Hot Water,1248,1
1941,    225,     11,    002,       ,68-2 COMMON ST #2,1020,1,1,Hot Water,986,1
1942,    225,     11,    003,       ,68-3 COMMON ST #3,1020,1,1,Hot Water,2625,1
2013,    225,     25,    003,       ,41 SHEPLE LN #3,1020,1,2,Forced Air-Duc,1134,1
2014,    225,     25,    004,       ,43 SHEPLE LN #4,1020,1,1.5,Forced Air-Duc,3053,1
2015,    225,     25,    005,       ,47 SHEPLE LN #5,1020,1,2,Hot Water,3044,1
2016,    225,     25,    006,       ,49 SHEPLE LN #6,1020,1,2,Hot Water,2798,1
