"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"325","Electric",960,1
"325","Oil",1961,1
"934","Oil",161690,2.5
"031","Gas",1920,1
"013","Oil",576,1
"954","Oil",361,1
"954","Coal or Wood",4170,1
"939","Gas",912,1.5
"939","Gas",726,1
"031","Coal or Wood",4320,1
"951","Gas",3624,1.75
"376","Gas",4838,1
"326","None",2873,1
"342","Gas",4793,1.75
"342","Oil",2322,1
"341","Gas",3603,1.75
"340","Oil",2602,1
"954","Oil",4650,2.5
"400","Gas",25895,1
"400","Gas",34132,1
"112","Gas",7544,2
"112","Gas",6940,2
"013","Gas",2400,2
"934","Oil",63655,2
"934","Oil",11880,1
"960","Oil",14645,1
"934","Electric",111583,1
"934","Oil",99823,1
"013","Electric",361,1
"325","Gas",2990,1
"934","Oil",824,1
"400","Oil",10192,1
"939","Oil",2127,1
"040","Oil",10944,1
"040","Oil",97271,1
"040","Oil",29046,2
"040","Oil",18701,1
"040","Oil",14332,2
"931","Gas",10795,1
"951","Oil",1466,1
"350","Oil",660,1
"960","Oil",5210,1
"931","Oil",4800,1
"340","Oil",2520,2
"125","Gas",79181,2
"935","Oil",3643,1
"031","Gas",8496,2
"041","Oil",2755,1
"041","Oil",16407,1
"960","Oil",4109,1
"316","Coal or Wood",720,1
"325","Oil",2716,1.5
"325","Oil",1812,1
"941","Coal or Wood",109175,2
"941","Electric",91702,3
"941","Gas",33408,1
"941","Oil",68570,1
"941","Oil",31080,1
"941","Oil",9745,1
"941","Oil",21372,1
"941","Oil",5060,1
"941","Oil",6928,1
"941","Oil",6032,2
"941","Oil",15965,3
"941","Oil",4008,1
"941","Oil",13596,1
"941","Oil",3550,1
"112","Oil",7526,2
"340","Oil",3420,1
"340","Oil",1107,1
"013","Oil",2836,2
"340","Oil",6643,2
"325","Electric",2580,1.75
"325","Gas",6765,2
"931","Oil",11516,2
"971","Gas",7051,2
"341","Gas",2343,2
"341","Gas",2640,2
"325","Oil",4252,2
"031","Gas",1830,2
"934","Oil",16410,2
"321","Gas",7580,1
"325","Oil",7276,1
"960","Oil",10452,1
"430","Oil",3510,1.5
"325","Gas",2800,1
"331","Gas",4677,1.5
"340","Gas",7527,2
"340","Gas",3200,2
"031","Oil",4932,2
"340","Oil",3694,2
"300","Gas",37111,2.75
"300","Gas",5180,1
"970","Oil",12017,2
"970","Oil",6120,1.75
"031","Gas",6276,2
"031","Gas",7991,2
"951","Gas",5008,1
"951","Oil",49791,2
"013","Oil",924,1
"931","Gas",12822,2
"960","Oil",13138,2
"941","Oil",4906,2
"941","Oil",5472,3
"941","Oil",27027,2
"941","Oil",3540,1
"941","Gas",17317,1
"941","Oil",13200,2
"941","Oil",10488,2
"941","Oil",7016,2
"941","Oil",4200,1.75
"941","Oil",27000,1
"941","Oil",41172,1.5
"941","Oil",11626,1
"960","Oil",10244,2
"960","Oil",17120,1
"960","Oil",2480,1
"931","Oil",8120,1
"931","Oil",1696,1
"931","Oil",616,1
"943","Gas",72141,NA
"340","Oil",728,1
"325","Oil",1500,1
"340","Gas",1176,1.75
"340","Gas",2168,2
"340","Gas",1200,1
"340","Gas",4755,1.75
"941","Gas",5344,1
"900","Gas",7403,1
"342","Gas",8324,NA
"325","Oil",3152,1
"013","Gas",1188,1.75
"326","Gas",2117,1
"340","Oil",3928,2
"332","Gas",3854,1
"325","Electric",4568,2
"326","Oil",1430,1
"954","Oil",3820,2
"342","Gas",11408,1
"325","Gas",1232,1
"934","Oil",8526,1
"970","Electric",24140,2.75
"935","Oil",13117,2
"354","Oil",4849,1
"316","Oil",7308,1
"971","Coal or Wood",728,1
"971","None",3200,1
"960","Oil",3200,1
"960","Coal or Wood",6048,2
"960","Electric",948,1
"960","Electric",8616,1
"960","Gas",2256,1
"960","Gas",1320,1
"960","Gas",6416,1
"960","Gas",1848,1
"960","Gas",1056,1
"960","Oil",800,1
"960","Oil",1056,1
"960","Oil",3456,3
"960","Oil",602,1
"960","Oil",400,1
"960","Oil",2996,1
"960","Oil",1280,1
"960","Oil",3200,1
"031","Oil",3600,2
"935","Oil",5643,1
"971","Oil",324,1
"941","Gas",4261,1
"941","Oil",29643,2
"941","Coal or Wood",2976,1
"941","Coal or Wood",1530,1
"941","Coal or Wood",6558,2
"941","Coal or Wood",2902,1
"941","Coal or Wood",2342,1
"941","Coal or Wood",3772,1
"941","Coal or Wood",2260,2
"941","Coal or Wood",666,1
"941","Oil",2520,1
"941","Oil",1748,1
"010","Oil",8029,1.5
"920","Oil",6007,2
"013","Oil",2528,1.5
"334","Gas",1280,1
"010","None",624,2
"322","Gas",7400,1
"324","Gas",69921,1
"324","None",10000,1
"326","Oil",2124,1
"342","Gas",8044,1
"342","Gas",3298,1
"342","Gas",2126,1
"340","Oil",7185,2
"340","Oil",6764,2
"013","Oil",1512,1
"325","Gas",6402,1.75
"340","Oil",2235,1
"031","Oil",2752,2
"010","Gas",0,1
"325","Gas",9735,1
"325","Gas",16020,2.5
"031","Gas",8400,1
"939","Oil",1362,1
"352","Gas",4012,1
"906","Gas",41562,2
"031","Oil",2200,2
"935","Oil",13786,2
"102","Oil",1152,2
"102","Oil",882,2
"102","Oil",756,1
"102","Oil",1008,1.75
"102","Oil",936,1.75
"102","Oil",1064,2
"102","Oil",1056,2
"102","Oil",1056,2
"102","Oil",2868,2
"102","Oil",1100,2
"102","Oil",1100,2
"102","Oil",1482,2.5
"102","Oil",1482,2.5
"102","Gas",1630,2
"102","Gas",1398,2
"102","Gas",1494,2
"102","Oil",1248,1
"102","Oil",986,1
"102","Oil",2625,1
"102","Oil",1134,2
"102","Gas",3053,1.5
"102","Oil",3044,2
"102","Oil",2798,2
"102","Oil",2320,2
"102","Gas",1872,2
"102","Gas",3004,2
"102","Oil",1094,2
"102","Gas",1560,2
"340","Oil",8581,2
"340","Oil",8581,2
"340","Oil",8581,2
"102","Oil",2743,2.5
"102","Oil",2743,2.5
"102","Gas",1840,NA
"102","Oil",1311,2
"102","Oil",1299,2
"102","Oil",768,1
"102","Oil",1366,2
"102","Electric",1040,2
"102","Electric",1144,2
"102","Electric",1092,2
"102","Electric",1050,2
"102","Oil",1000,2
"102","Oil",1000,2
"102","Oil",1266,2
"102","Oil",1301,2
"102","Oil",1050,2
"102","Gas",1463,2
"102","Gas",1425,2
"102","Gas",1425,2
"102","Gas",1463,2
"970","Gas",1140,2
"102","Gas",1425,2
"102","Gas",1368,2
"102","Gas",1102,2
"102","Gas",1140,2
"102","Gas",1539,2
"102","Gas",1140,2
"102","Gas",1539,2
"102","Gas",1349,2
"102","Gas",1463,2
"102","Gas",1463,2
"102","Gas",1596,2
"102","Gas",1425,2
"102","Gas",1463,2
"102","Gas",1425,2
"102","Gas",1102,2
"102","Gas",1102,2
"102","Gas",1425,2
"102","Gas",1463,2
"102","Gas",1406,2
"102","Gas",1368,2
"102","Gas",1653,2
"102","Gas",1102,2
"102","Gas",1387,2
"102","Gas",1406,2
"102","Gas",1102,2
"102","Gas",1463,2
"970","Gas",1140,2
"102","Gas",1463,2
"102","Gas",1425,2
"102","Gas",1463,2
"102","Gas",1444,2
"102","Oil",1232,1
"102","Oil",1026,2
"102","Oil",1348,2
"102","Gas",1542,2
"102","Oil",1020,1
"102","Oil",2024,2
"102","Gas",1590,2
"102","Gas",1150,1
"102","Gas",1150,1
"102","Gas",1150,1
"102","Gas",1175,1
"102","Gas",1104,1
"102","Gas",1104,1
"102","Gas",1150,1
"102","Gas",1150,1
"102","Gas",1958,1.5
"102","Gas",2108,1.5
"102","Oil",1242,2
"970","Gas",1036,1
"102","Oil",1512,1
"102","Oil",1512,1
"102","Oil",1914,2
"102","Gas",2962,1
"102","Oil",2088,2
"102","Gas",2240,2
"102","Oil",2088,2
"102","Gas",2136,2
"102","Oil",2448,2
"102","Electric",1026,2
"102","Electric",1032,2
"102","Oil",1266,2
"102","Oil",1266,2
"102","Oil",1092,2
"340","Gas",998,1
"340","Gas",1011,1
"340","Gas",1517,1
"340","Gas",1491,1
"340","Gas",1278,1
"340","Gas",1278,1
"340","Gas",2232,1
"340","Gas",5386,1
"340","Gas",1021,1
"340","Gas",1382,1
"340","Gas",1837,1
"340","Gas",3283,1
"340","Gas",2349,1
"340","Gas",1208,1
"340","Gas",2027,1
"340","Gas",1603,1
"340","Gas",1449,1
"340","Gas",1449,1
"340","Gas",1846,1
"340","Gas",1620,1
"340","Gas",1620,1
"340","Gas",9807,1
"340","Gas",1028,1
"102","Gas",1445,2
"102","Gas",1400,2
"102","Oil",1266,2
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1032,1
"102","Gas",1202,1
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1215,1
"102","Gas",1032,1
"102","Gas",1234,1
"102","Gas",1092,1
"102","Gas",1032,1
"102","Gas",1218,1
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1218,1
"102","Gas",1032,1
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1044,1
"102","Gas",1446,1
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1412,1
"102","Gas",1032,1
"102","Gas",1092,1
"102","Gas",1202,1
"102","Gas",1032,1
"102","Gas",1412,1
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1032,1
"102","Gas",1218,1
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1412,1
"102","Gas",1032,1
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1032,1
"102","Gas",1394,1
"102","Gas",1092,1
"102","Gas",1092,1
"102","Gas",1412,1
"102","Gas",1068,1
"102","Oil",2438,2
"102","Gas",2438,2
"102","Oil",2770,2
"102","Oil",2314,2
"102","Oil",2263,2
"102","Gas",1578,1
"102","Gas",1578,1
"102","Gas",2412,2
"102","Oil",2993,2
"102","Oil",1716,2
"102","Gas",2418,2
"102","Gas",2363,1.75
"102","Gas",2214,2
"102","Gas",1716,2
"102","Gas",2708,2
"102","Gas",2325,2
"102","Gas",2214,2
"102","Gas",2305,2
"102","Gas",2418,2
"102","Gas",2418,2
"102","Gas",2122,2
"102","Oil",2122,2
"102","Oil",1360,1
"102","Gas",680,1
"102","Oil",680,1
"102","Oil",768,1
"340","Oil",3507,2.5
"102","Gas",1515,1.75
"102","Gas",1178,1.75
"102","Gas",2516,2
"102","Gas",1515,1.75
"102","Oil",1178,1.75
"102","Gas",1328,1.75
"102","Gas",2307,1.75
"102","Gas",2307,1.75
"102","Gas",1328,1.75
"102","Gas",2102,2
"102","Gas",2102,2
"102","Oil",1598,2
"102","Oil",1271,2
"102","Oil",1585,1.75
"102","Gas",2516,2
"102","Gas",2516,2
"102","Gas",2102,1.75
"102","Gas",2166,1.75
"102","Gas",2307,2
"102","Gas",1328,1.75
"102","Gas",2307,2
"102","Gas",1328,1.75
"102","Gas",1872,2.5
"102","Gas",1404,2.5
"102","Gas",1080,2
"102","Gas",1872,2.5
"102","Gas",1872,2.5
"102","Gas",1404,2.5
"102","Gas",1260,2
"102","Gas",1872,2.5
"102","Gas",1404,2.5
"102","Gas",1296,2
"102","Gas",1404,2.5
"102","Gas",1296,2
"102","Gas",1296,2
"102","Gas",1404,2
"102","Gas",1296,2
"102","Gas",1296,2
"102","Gas",1296,2
"102","Gas",1404,2
"102","Gas",851,1
"102","Gas",2560,1
"102","Gas",2280,2
"102","Gas",864,1
"102","Oil",1265,2
"102","Oil",1265,2
"102","Gas",3272,2
"102","Gas",2006,2
"340","Oil",925,1
"340","Oil",892,1
"340","Oil",1084,1
"102","Gas",1362,1
"102","Gas",797,1
"102","Gas",1202,1
"340","Oil",3285,1
"102","Gas",2650,2
"102","Gas",1738,2
"102","Gas",2191,2
"102","Gas",3590,2
"102","Gas",3140,2
"102","Gas",2772,2
"102","Gas",2689,2
"102","Gas",2092,2
"102","Oil",1982,1.5
"102","Oil",2801,1.75
"102","Oil",1790,1.75
"102","Oil",2009,1.75
"102","Oil",1362,1.75
"102","Oil",2041,1.75
"102","Oil",3096,1.75
"102","Gas",1616,3
"102","Gas",1173,1
"102","Gas",1183,2
"102","Gas",1710,2
"102","Oil",2516,2
"102","Gas",2516,2
"102","Gas",1960,2
"102","Gas",1264,2
"102","Gas",1976,2
"102","Gas",1264,2
"102","Gas",2832,2
"102","Gas",2132,2
"102","Gas",1960,2
"102","Gas",1960,2
"102","Gas",2132,2
"102","Gas",1960,2
"102","Gas",2822,2
"102","Gas",2800,2
