Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Living_AreaGBA,Heat_Type_Desc,Line_
1,    130,     45,      0,       ,313 WHILEY RD,1010,1,1,540,Forced Air-Duc,1
2,    130,     47,      0,       ,331 WHILEY RD,1010,1,2,1792,Forced Air-Duc,1
6,    131,     57,      0,       ,12 WEYMISSET RD ,1010,1,1.75,3099,Forced Air-Duc,1
7,    131,     33,      0,       ,71 SHENANDOAH RD ,1090,1,2,3064,Hot Water,1
7,    131,     33,      0,       ,71 SHENANDOAH RD ,1090,2,1,696,Forced Air-Duc,1
7,    131,     33,      0,       ,71 SHENANDOAH RD ,1090,3,1,600,Forced Air-Duc,1
8,    131,     45,      0,       ,14 ISLAND RD,1013,1,1,1512,Hot Water,1
9,    131,     46,      0,       ,10 ISLAND RD,1010,1,1,119,None,1
10,    131,     47,      0,       ,6 ISLAND RD,1013,1,1,648,Forced Air-Duc,1
11,    131,     48,      0,       ,2 ISLAND RD,1013,1,2,1288,Forced Air-Duc,1
14,    131,     51,      0,       ,6 WEYMISSET RD,1013,1,1,820,None,1
15,    131,     52,      0,       ,8 WEYMISSET RD,1013,1,1.75,2087,Hot Water,1
16,    131,     53,      0,       ,1 RADIO RD,1013,1,1,648,None,1
20,    131,     63,      0,       ,290 WHILEY RD,1040,1,2,2496,Hot Water,1
21,    131,     66,      0,       ,284 WHILEY RD,1010,1,2,1440,Forced Air-Duc,1
22,    131,     32,      0,       ,7 SHENANDOAH RD,1013,1,1,3672,Forced Air-Duc,1
23,    131,     31,      0,       ,47 SHENANDOAH RD ,1013,1,2,1584,Forced Air-Duc,1
24,    131,     30,      0,       ,SHENANDOAH RD,1030,1,1,272,Forced Air-Duc,1
26,    131,     35,      0,       ,29 ISLAND RD,1013,1,1,768,Hot Air-no Duc,1
27,    131,     36,      0,       ,39 ISLAND RD,1013,1,1.5,1152,Hot Water,1
29,    131,     38,      0,       ,49 ISLAND RD,1013,1,1,784,Forced Air-Duc,1
30,    131,     39,      0,       ,53 ISLAND RD,1013,1,2.5,2202,Hot Water,1
31,    131,     40,      0,       ,57 ISLAND RD,1013,1,1,750,Forced Air-Duc,1
33,    122,     88,      0,       ,62 ISLAND RD,1013,1,1,1634,Forced Air-Duc,1
34,    122,     89,      0,       ,60 ISLAND RD,1013,1,1,1425,Forced Air-Duc,1
35,    122,     93,      0,       ,52 ISLAND RD,1013,1,1,1064,Forced Air-Duc,1
36,    122,     94,      0,       ,50 ISLAND RD,1013,1,1,726,Forced Air-Duc,1
39,    122,     99,      0,       ,28 ISLAND RD,1013,1,1.75,1232,Forced Air-Duc,1
41,    125,      5,      0,       ,75 LOST LAKE DR,1010,1,1.5,2398,Hot Water,1
42,    124,     79,      0,       ,27 CYPRESS RD,1010,1,1,1016,Forced Air-Duc,1
44,    125,     13,      0,       ,103 LOST LAKE DR,1010,1,1,1064,Forced Air-Duc,1
46,    124,     76,      0,       ,28 WHITEWOOD RD,1010,1,1,1284,Forced Air-Duc,1
47,    124,     77,      0,       ,22 WHITEWOOD RD,1010,1,1.75,1310,Hot Water,1
48,    125,     91,      0,       ,14 WHITEWOOD RD,1010,1,1,978,Forced Air-Duc,1
51,    125,     15,      0,       ,105 LOST LAKE DR ,1010,1,1,2485,Forced Air-Duc,1
53,    125,     17,      0,       ,15 CHESTNUT RD,1010,1,1,960,Forced Air-Duc,1
