MBLU,Block,Lot,Unit,Location,Usrfld_82_Desc
    101,      1,      0,       ,64 WEST MAIN ST ,Gas
    101,      3,      0,       ,54 WEST MAIN ST,Oil
    101,      4,      0,       ,48 WEST MAIN ST,Oil
    101,      4,      0,       ,48 WEST MAIN ST,Oil
    101,      6,      0,       ,34 WEST MAIN ST,Gas
    101,      7,      0,       ,16 WEST MAIN ST,Gas
    101,     17,      0,       ,13 WEST MAIN ST,Gas
    101,     19,      0,       ,23 WEST MAIN ST,Gas
    101,     20,      0,       ,25 WEST MAIN ST,Gas
    101,     21,      0,       ,29 WEST MAIN ST,Gas
    101,     22,      0,       ,33 WEST MAIN ST ,Oil
    101,     24,      0,       ,41 WEST MAIN ST,Oil
    101,     25,      0,       ,43 WEST MAIN ST,Oil
    101,     26,      0,       ,55 WEST MAIN ST,Gas
    101,     27,      0,       ,57 WEST MAIN ST,Gas
    101,     28,      0,       ,59 WEST MAIN ST,Gas
    102,      1,      0,       ,CANNERY ROW,Oil
    102,      2,      0,       ,38 CANNERY ROW,Oil
    102,      4,      0,       ,120 TOWNSEND RD,Gas
    102,      5,      0,       ,114 TOWNSEND RD,Oil
    102,      6,      0,       ,106 TOWNSEND RD,Gas
    102,      7,      0,       ,102 TOWNSEND RD,Oil
    102,      8,      0,       ,96 TOWNSEND RD,Gas
    102,      9,      0,       ,90 TOWNSEND RD,Oil
    102,     11,      0,       ,66 TOWNSEND RD,Oil
    102,     12,      0,       ,60 TOWNSEND RD,Gas
    102,     13,      0,       ,56 TOWNSEND RD,Oil
    102,     14,      0,       ,48 TOWNSEND RD,Oil
    102,     15,      0,       ,42-44 TOWNSEND RD,Gas
    102,     16,      0,       ,40 TOWNSEND RD ,Oil
    102,     18,      0,       ,28 TOWNSEND RD ,Gas
    102,     19,      0,       ,19 PEPPERELL RD,Gas
    102,     20,      0,       ,16 TOWNSEND RD,Gas
    102,     21,      0,       ,13 PEPPERELL RD,Oil
    102,     22,      0,       ,17 PEPPERELL RD,Oil
    102,     23,      0,       ,25 PEPPERELL RD,Oil
    102,     24,      0,       ,37 PEPPERELL RD ,Gas
    102,     25,      0,       ,39 PEPPERELL RD,Oil
    102,     26,      0,       ,51 PEPPERELL RD,Gas
    102,     27,      0,       ,55 PEPPERELL RD,Oil
    102,     28,      0,       ,32 ST JAMES AVE,Oil
    102,     29,      0,       ,7 SHEPLEY ST,Oil
    102,     30,      0,       ,15 SHEPLEY ST,Gas
    102,     31,      0,       ,23 SHEPLEY ST,Oil
    102,     32,      0,       ,27 SHEPLEY ST,Gas
    102,     33,      0,       ,9 WESTVIEW ST,Gas
    102,     34,      0,       ,17 WESTVIEW ST,Gas
    102,     35,      0,       ,25 WESTVIEW ST,Oil
    102,     36,      0,       ,26 WESTVIEW ST,Oil
    102,     37,      0,       ,14 WESTVIEW ST ,Oil
    102,     38,      0,       ,6 WESTVIEW ST,Oil
    102,     39,      0,       ,29 BIXBY HILL RD,Oil
    102,     40,      0,       ,37 BIXBY HILL RD,Gas
    102,     41,      0,       ,36 BIXBY HILL RD,Gas
    102,     42,      0,       ,20 BIXBY HILL RD,Oil
    102,     43,      0,       ,17 BIXBY HILL RD,Oil
    102,     45,      0,       ,81 PEPPERELL RD ,Oil
    102,     46,      0,       ,11 BIXBY HILL RD,Gas
    102,     47,      0,       ,12 BIXBY HILL RD,Gas
    102,     48,      0,       ,2 BIXBY HILL RD,Oil
    102,     49,      0,       ,103 PEPPERELL RD,Gas
    102,     50,      0,       ,107 PEPPERELL RD,Gas
    102,     51,      0,       ,122 PEPPERELL RD,Gas
    102,     53,      0,       ,110 PEPPERELL RD,Gas
    102,     54,      0,       ,106 PEPPERELL RD,Gas
    102,     55,      0,       ,102 PEPPERELL RD,Oil
    102,     59,      0,       ,48 FOX RUN,Oil
    102,     60,      0,       ,20 FOX RUN,Oil
    102,     61,      0,       ,16 FOX RUN,Oil
    102,     62,      0,       ,8 FOX RUN ,Gas
    102,     63,      0,       ,78 PEPPERELL RD,Gas
    102,     64,      0,       ,70 PEPPERELL RD,Oil
    102,     65,      0,       ,56 PEPPERELL RD,Oil
    102,     66,      0,       ,48 PEPPERELL RD,Oil
    102,     67,      0,       ,40 PEPPERELL RD,Oil
    102,     68,      0,       ,32 PEPPERELL RD,Oil
    102,     69,      0,       ,18 PEPPERELL RD,Gas
    103,      5,      0,       ,176 KEMP ST,Oil
    103,      6,      0,       ,170 KEMP ST,Oil
    103,      7,      0,       ,166 KEMP ST,Oil
    103,      8,      0,       ,130 KEMP ST ,Gas
    103,      9,      0,       ,122 KEMP ST,Oil
    103,     10,      0,       ,112 KEMP ST,Gas
    103,     11,      0,       ,92 KEMP ST,Gas
    103,     12,      0,       ,72 KEMP ST,Gas
    103,     14,      0,       ,70 KEMP ST,Oil
    103,     15,      0,       ,54 KEMP ST ,Gas
    103,     16,      0,       ,44 KEMP ST,Oil
    103,     17,      0,       ,39 KEMP ST,Gas
    103,     18,      0,       ,51 KEMP ST,Gas
    103,     19,      0,       ,63 KEMP ST ,Gas
    103,     22,      0,       ,93 KEMP ST,Oil
    103,     23,      0,       ,119 KEMP ST,Oil
    103,     24,      0,       ,117 KEMP ST,Oil
    103,     26,      0,       ,161 KEMP ST,Oil
    103,     27,      0,       ,167 KEMP ST ,Oil
    103,     29,      0,       ,177 KEMP ST,Oil
    103,     30,      0,       ,183 KEMP ST,Oil
    103,     31,      0,       ,208 TOWNSEND RD,Oil
    103,     32,      0,       ,198-200 TOWNSEND RD ,Oil
    103,     34,      0,       ,178  TOWNSEND RD,Oil
    103,     36,      0,       ,148 TOWNSEND RD,Oil
    103,     37,      0,       ,142 TOWNSEND RD ,Gas
    103,     38,      0,       ,7 WINDMILL HILL RD,Electric
    103,     39,      0,       ,13 WINDMILL HILL RD,Oil
    103,     40,      0,       ,15 WINDMILL HILL RD,Gas
    103,     41,      0,       ,19 WINDMILL HILL RD,Oil
    103,     42,      0,       ,27 WINDMILL HILL RD,Gas
    103,     43,      0,       ,31 WINDMILL HILL RD,Gas
    103,     44,      0,       ,43 WINDMILL HILL RD,Oil
    103,     45,      0,       ,47 WINDMILL HILL RD,Oil
    103,     46,      0,       ,9 OLD ORCHARD ST,Oil
