Town	Use code	Description	Stories	Stories_Desc	Style	Style Description	Living Area	Heat fuel	Fuel Description	Heat type	Type description
Holden	101	Single Fam  MDL-01	2		3	Colonial	2686	2	Oil	10	Hydro Air
Holden	101	Single Fam  MDL-01	1	1 Story	1	Ranch	720	3	Gas	3	Hot Air-no Duc
Holden	101	Single Fam  MDL-01	1	1 Story	1	Ranch	824	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1	1 Story	1	Ranch	1018	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1	1 Story	1	Ranch	1246	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1	1 Story	1	Ranch	1392	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1	1 Story	1	Ranch	2088	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1	1 Story	5	Bungalow	473	3	Gas	5	Hot Water
Holden	101	Single Fam  MDL-01	1	1 Story	6	Conventional	1200	8	Wood	9	Wood Furnance
Holden	101	Single Fam  MDL-01	1	1 Story	6	Conventional	2418	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1	1 Story	7	Modern/Contemp	3378	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1	1 Story	63	Antique	1786	2	Oil	6	Steam
Holden	101	Single Fam  MDL-01	1.5	1 1/2 Stories	3	Colonial	1780	2	Oil	6	Steam
Holden	101	Single Fam  MDL-01	1.5	1 1/2 Stories	4	Cape Cod	1630	2	Oil	4	Forced Air-Duc
Holden	101	Single Fam  MDL-01	1.5	1 1/2 Stories	4	Cape Cod	1999	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1.5	1 1/2 Stories	4	Cape Cod	2148	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1.5	1 1/2 Stories	4	Cape Cod	3415	2	Oil	5	Hot Water
Holden	101	Single Fam  MDL-01	1.5	1 1/2 Stories	6	Conventional	3224	3	Gas	4	Forced Air-Duc
Holden	101	Single Fam  MDL-01	1.75		4	Cape Cod	3395	3	Gas	4	Forced Air-Duc
Holden	101	Single Fam  MDL-01	1.75	1 3/4 Stories	4	Cape Cod	3848	3	Gas	4	Forced Air-Duc
Holden	101	Single Fam  MDL-01	2		3	Colonial	3152	3	Gas	4	Forced Air-Duc
Holden	101	Single Fam  MDL-01	2	2 Stories	3	Colonial	2128	2	Oil	6	Steam
