"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"101","Oil",2686,2
"101","Gas",720,1
"101","Oil",824,1
"101","Oil",1018,1
"101","Oil",1246,1
"101","Oil",1392,1
"101","Oil",2088,1
"101","Gas",473,1
"101","Wood",1200,1
"101","Oil",2418,1
"101","Oil",3378,1
"101","Oil",1786,1
"101","Oil",1780,1.5
"101","Oil",1630,1.5
"101","Oil",1999,1.5
"101","Oil",2148,1.5
"101","Oil",3415,1.5
"101","Gas",3224,1.5
"101","Gas",3395,1.75
"101","Gas",3848,1.75
"101","Gas",3152,2
"101","Oil",2128,2
"101","Gas",2555,2
"101","Oil",2674,2
"101","Oil",2689,2
"101","Oil",2806,2
"101","Gas",2822,2
"101","Oil",3573,2
"101","Oil",2196,2
"101","Oil",2214,2
"101","Oil",2133,2
"101","Gas",2430,2
"101","Oil",2632,2
"101","Gas",2667,2
"101","Oil",2715,2
"101","Oil",2981,2
"101","Oil",3975,2
"101","Oil",5065,2
"101","Oil",1408,2
"101","Oil",2318,2
"101","Propane",2506,2
"101","Oil",2548,2
"101","Oil",3568,2
"104","Oil",1952,1.5
"104","Oil",1492,2
"104","Oil",3474,2
"104","Oil",3512,2
"105","Gas",2782,2
"109","Oil",972,1
"109","Oil",1670,2
"322","No Central",10896,0
"322","Oil",1614,1.5
"101","Oil",988,1
"101","Oil",1608,1
"101","Oil",2512,1
"101","Gas",1330,1
"101","Gas",1330,1
"101","Gas",1330,1
"101","Oil",1553,1
"101","Oil",1664,2
"101","Oil",1664,2
"101","Gas",1664,2
"101","Gas",1760,2
"101","Gas",1760,2
"101","Gas",1760,2
"101","Gas",1768,2
"101","Gas",1768,2
"101","Gas",1768,2
"101","Gas",1768,2
"101","Gas",1773,2
"101","Gas",1872,2
"101","Gas",1903,2
"101","Gas",1924,2
"101","Gas",1951,2
"101","Gas",2000,2
"101","Electric",2044,2
"101","Gas",2064,2
"101","Gas",2088,2
"101","Gas",2104,2
"101","Gas",2128,2
"101","Oil",2150,2
"101","Gas",2160,2
"101","Gas",2192,2
"101","Gas",2192,2
"101","Gas",2208,2
"101","Gas",2208,2
"101","Gas",2208,2
"101","Gas",2208,2
"101","Oil",2216,2
"101","Gas",2216,2
"101","Oil",2248,2
"101","Oil",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2248,2
"101","Gas",2252,2
"101","Gas",2252,2
"101","Gas",2304,2
"101","Gas",2324,2
"101","Gas",2376,2
"101","Gas",2404,2
"101","Gas",2412,2
"101","Gas",2442,2
"101","Gas",2448,2
"101","Gas",2448,2
"101","Gas",2448,2
"101","Gas",2448,2
"101","Gas",2468,2
"101","Gas",2475,2
"101","Oil",2482,2
"101","Oil",2488,2
"101","Gas",2488,2
"101","Gas",2488,2
"101","Gas",2488,2
"101","Gas",2488,2
"101","Gas",2492,2
"101","Gas",2500,2
"101","Gas",2504,2
"101","Gas",2520,2
"101","Gas",2527,2
"101","Gas",2528,2
"101","Oil",2536,2
"101","Gas",2567,2
"101","Gas",2596,2
"101","Gas",2640,2
"101","Gas",2640,2
"101","Gas",2643,2
"101","Gas",2652,2
"101","Gas",2677,2
"101","Gas",2703,2
"101","Oil",2704,2
"101","Gas",2807,2
"101","Gas",2821,2
"101","Gas",2854,2
"101","Oil",2860,2
"101","Oil",2868,2
"101","Gas",2869,2
"101","Gas",2870,2
"101","Gas",2949,2
"101","Gas",2949,2
"101","Gas",2949,2
"101","Gas",2949,2
"101","Gas",2949,2
"101","Oil",3076,2
"101","Oil",3168,2
"101","Gas",3193,2
"101","Oil",3397,2
"101","Gas",3430,2
"101","Gas",3539,2
"101","Oil",752,1
"101","Gas",1460,1
"101","Gas",1805,1
"101","Gas",2046,1
"101","Gas",2384,1
"101","Gas",2533,1
"101","Gas",2626,1
"101","Gas",2714,1
"101","Oil",1213,1
"101","Gas",1835,1
"101","Gas",2758,1
"101","Electric",2280,1
"101","Oil",0,1
"101","Gas",416,1
"101","Oil",513,1
"101","Oil",575,1
"101","Gas",597,1
"101","Gas",612,1
"101","Oil",624,1
"101","Gas",640,1
"101","Oil",660,1
"101","Oil",660,1
"101","Oil",670,1
"101","Oil",672,1
"101","Oil",672,1
"101","Oil",672,1
"101","Oil",675,1
"101","Oil",684,1
"101","Oil",690,1
"101","Oil",690,1
"101","Oil",720,1
"101","Oil",720,1
"101","Oil",720,1
"101","Oil",720,1
"101","Electric",720,1
"101","Oil",728,1
"101","Oil",744,1
"101","Oil",748,1
"101","Wood",762,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",768,1
"101","Oil",772,1
"101","Electric",776,1
"101","Oil",780,1
"101","Oil",780,1
"101","Oil",782,1
"101","Oil",792,1
"101","Oil",792,1
"101","Oil",798,1
"101","Oil",798,1
"101","Oil",800,1
"101","Electric",800,1
"101","Oil",808,1
"101","Oil",816,1
"101","Oil",816,1
"101","Oil",816,1
"101","Oil",816,1
"101","Oil",816,1
"101","Oil",816,1
"101","Oil",818,1
"101","Electric",825,1
"101","Wood",829,1
"101","Oil",832,1
"101","Oil",832,1
"101","Oil",832,1
"101","Oil",832,1
"101","Oil",834,1
"101","Oil",839,1
"101","Oil",840,1
"101","Oil",840,1
"101","Oil",848,1
"101","Propane",854,1
"101","Oil",856,1
"101","Oil",858,1
"101","Oil",858,1
"101","Oil",858,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Oil",864,1
"101","Gas",864,1
"101","Electric",864,1
"101","Oil",868,1
"101","Oil",870,1
"101","Oil",871,1
"101","Oil",874,1
"101","Oil",876,1
"101","Oil",879,1
"101","Oil",880,1
"101","Oil",884,1
"101","Oil",884,1
"101","Gas",884,1
"101","Oil",886,1
"101","Oil",888,1
"101","Oil",888,1
"101","Oil",888,1
"101","Oil",888,1
"101","Oil",888,1
"101","Oil",892,1
"101","Oil",896,1
"101","Oil",897,1
"101","Oil",898,1
"101","Oil",899,1
"101","Oil",900,1
"101","Oil",900,1
"101","Oil",900,1
"101","Oil",900,1
"101","Oil",901,1
"101","Oil",904,1
"101","Oil",904,1
"101","Oil",905,1
"101","Oil",905,1
