"","USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"1","971",NA,0,NA
"2","901",NA,0,NA
"3","931","NONE",240,"1"
"4","930",NA,0,NA
"5","930",NA,0,NA
"6","999",NA,0,NA
"7","104","GAS",3144,"2"
"8","111","GAS",8280,"3"
"9","105","GAS",4632,"3"
"10","112","GAS",11760,"3"
"11","390",NA,0,NA
"12","111","GAS",12000,"4"
"13","131",NA,0,NA
"14","130",NA,0,NA
"15","112","GAS",13440,"3"
"16","105","OIL",4587,"3"
"17","104","OIL",1728,"2"
"18","930",NA,0,NA
"19","930",NA,0,NA
"20","325","GAS",3162,"1"
"21","332","OIL",2896.25,"1T"
"22","325","ELECTRIC",1000,"1"
"23","326","OIL",1400,"1"
"24","325","GAS",2720,"1"
"25","101","OIL",1408,"2"
"26","101","OIL",1418,"2"
"27","101","OIL",1380,"2"
"28","101","GAS",1404,"2"
"29","101","OIL",1404,"2"
"30","933",NA,0,NA
"31","936",NA,0,NA
"32","930",NA,0,NA
"33","957",NA,0,NA
"34","957",NA,0,NA
"35","013","GAS",1584,"2"
"36","325","ELECTRIC",1550,"1"
"37","111","ELECTRIC",6960,"4"
"38","325","ELECTRIC",2000,"1"
"39","931","GAS",31974.4,"1"
"40","930",NA,0,NA
"41","931",NA,0,NA
"42","931",NA,0,NA
"43","931",NA,0,NA
"44","931",NA,0,NA
"45","930",NA,0,NA
"46","931",NA,0,NA
"47","931",NA,0,NA
"48","930",NA,0,NA
"49","930",NA,0,NA
"50","326","OIL",3600,"2"
"51","957",NA,0,NA
"52","112","GAS",11600,"4"
"53","111","OIL",2560,"2"
"54","337",NA,0,NA
"55","337",NA,0,NA
"56","112","GAS",11840,"4"
"57","957","GAS",4935,"1"
"58","112","GAS",10584,"4"
"59","316","NONE",6560,"1"
"60","392",NA,0,NA
"61","391",NA,0,NA
"62","960",NA,0,NA
"63","960",NA,0,NA
"64","960",NA,0,NA
"65","325","GAS",5400,"2"
"66","325","GAS",11952,"1"
