"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"102","Electric",587,2
"102","Electric",587,2
"102","Electric",587,2
"102","Electric",587,2
"102","Gas",613,2
"102","Electric",900,2
"102","Electric",900,2
"102","Electric",900,2
"102","Electric",1000,2
"102","Electric",1000,2
"102","Gas",708,1
"102","Gas",680,2
"102","Gas",1298,1.5
"102","Gas",1271,1.5
"102","Electric",1002,1
"102","Electric",990,1
"102","Electric",992,1
"102","Electric",997,1
"102","Electric",991,1
"102","Electric",988,1
"102","Electric",1015,1
"102","Electric",1001,1
"102","Electric",985,1
"102","Electric",983,1
"102","Electric",985,1
"102","Electric",988,1
"102","Electric",988,1
"102","Electric",985,1
"102","Electric",983,1
"102","Electric",985,1
"102","Electric",999,1
"102","Electric",986,1
"102","Electric",1007,1
"102","Electric",986,1
"102","Electric",990,1
"102","Electric",990,1
"102","Electric",992,1
"102","Electric",987,1
"102","Electric",1020,1
"102","Electric",1001,1
"102","Electric",985,1
"102","Electric",983,1
"102","Electric",985,1
"102","Electric",988,1
"102","Electric",988,1
"102","Electric",985,1
"102","Electric",983,1
"102","Electric",985,1
"102","Electric",999,1
"102","Electric",986,1
"102","Electric",1010,1
"102","Electric",985,1
"102","Electric",989,1
"102","Electric",991,1
"102","Electric",991,1
"102","Electric",990,1
"102","Electric",1020,1
"102","Electric",1001,1
"102","Electric",985,1
"102","Electric",983,1
"102","Electric",985,1
"102","Electric",988,1
"102","Electric",988,1
"102","Electric",985,1
"102","Electric",983,1
"102","Electric",985,1
"102","Electric",999,1
"102","Electric",981,1
"102","Electric",1010,1
"102","Electric",988,1
"102","Electric",987,1
"102","Electric",992,1
"102","Electric",990,1
"102","Electric",988,1
"102","Electric",1019,1
"102","Electric",1001,1
"102","Electric",985,1
"102","Electric",983,1
"102","Electric",985,1
"102","Electric",988,1
"102","Electric",988,1
"102","Electric",985,1
"102","Electric",983,1
"102","Electric",985,1
"102","Electric",999,1
"102","Oil",1025,1
"102","Electric",1025,1
"102","Oil",513,1
"322","Oil",3158,1
"102","Electric",1280,2.25
"102","Electric",1280,2.25
"102","Electric",1280,2.25
"102","Electric",1280,2.25
"102","Electric",1088,2.25
"102","Electric",1088,2.25
"102","Electric",1190,2.25
"102","Electric",1088,2.25
"102","Electric",1190,2.25
"102","Electric",1190,2.25
"102","Electric",1190,2.25
"102","Electric",1190,2.25
"102","Electric",1088,2.25
"102","Electric",1120,2.25
"102","Electric",1088,2.25
"102","Electric",1088,2.25
"102","Electric",1190,2.25
"102","Electric",1190,2.25
"102","Electric",1190,2.25
"102","Electric",1190,2.25
"102","Electric",1280,2.25
"102","Electric",1280,2.25
"102","Electric",1280,2.25
"102","Electric",1280,2.25
"102","Oil",1558,2.25
"013","Oil",1598,2
"013","Oil",1595,2
"102","Electric",886,2
"102","Electric",887,2
"102","Electric",921,2
"102","Oil",932,2
"102","Electric",922,2
"102","Electric",1080,2
"102","Electric",1080,2
"102","Electric",1080,2
"102","Electric",1080,2
"102","Oil",864,1
"102","Oil",1038,1.5
"102","Electric",1100,2
"102","Electric",1100,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Gas",1320,2
"102","Electric",1470,2
"102","Electric",1228,2
"102","Electric",1228,2
"102","Electric",1228,2
"102","Electric",1228,2
"102","Electric",1347,2
"102","Electric",1228,2
"102","Electric",1228,2
"102","Electric",1228,2
"102","Electric",1234,2
"102","Electric",1228,2
"102","Electric",1228,2
"102","Electric",1228,2
"102","Electric",1228,2
"102","Electric",1470,2
"102","Electric",1228,2
"102","Electric",1351,2
"102","Electric",986,1
"102","Electric",986,1
"102","Electric",975,1
"102","Electric",975,1
"102","Electric",986,1
"102","Electric",986,1
"102","Electric",975,1
"102","Electric",975,1
"102","Electric",975,1
"102","Electric",975,1
"102","Electric",950,1
"102","Electric",927,2
"102","Electric",927,2
"102","Electric",927,2
