USECODE,STORYHEIGHT,FUELTYPE,AREASQ
101,1,OIL,930
101,2A,OIL,1620
101,1T,GAS,2016
101,2A,OIL,1680
101,2A,GAS,2284.8
101,1,OIL,2380
101,1T,GAS,2600
101,2,OIL,2305
101,1H,GAS,1431.68
101,1T,OIL,790
104,2H,GAS,2528
131,,,0
101,2A,GAS,1843
101,2A,OIL,2602
104,2A,GAS,2553
930,,,0
101,1T,GAS,1236
101,1H,OIL,1209
101,1,OIL,2416
101,1A,OIL,1457.68
101,2,GAS,2282
101,2A,GAS,2928
104,3,OIL,3250
101,1A,OIL,1835.53
101,1T,OIL,1879
101,1A,OIL,1326.13
101,1A,OIL,980
101,1A,GAS,1951.52
101,1A,OIL,1064
101,1T,OIL,1530
102,2,GAS,2328.1
102,2,GAS,2522
102,2,GAS,2697.06
102,2,GAS,2522
101,2,OIL,1992
101,2A,GAS,2763.85
101,1,OIL,1596
101,1,GAS,1530
101,1,GAS,2111.5
101,1,OIL,1500
101,2,GAS,1992
101,1,OIL,1500
101,2,GAS,2947
111,2A,OIL,3670
101,2,OIL,2366
101,2,OIL,2424
101,2,GAS,2326.4
104,2,OIL,2130.45
101,2A,OIL,2251
101,2T,OIL,3360
102,1,GAS,1302
102,2A,GAS,1867
102,1,GAS,1302
102,1,GAS,1198
102,2A,GAS,1867
101,1,GAS,1814.4
101,1,GAS,2488
101,2,GAS,1992
101,1T,GAS,2232
101,1,GAS,2285.4
101,1,GAS,1942
101,1,GAS,1891.2
101,1,GAS,1895
101,2A,GAS,2855
101,1,GAS,1546
101,1T,GAS,1719
101,2H,GAS,1453
101,1H,OIL,1213
101,1A,OIL,1042.6
101,1T,GAS,1933
101,1H,GAS,2227
101,1H,GAS,1093
101,1H,GAS,2665
101,1T,OIL,1729
101,1T,OIL,1441
101,2,GAS,1983
101,1T,OIL,2004.7
101,2,OIL,5893
101,2,OIL,2438
101,2,OIL,2721.6
101,1,ELECTRIC,2531.35
101,2,OIL,4455.5
101,2,GAS,3354.8
101,1,GAS,1338
101,1,OIL,2535
101,1,OIL,1236
101,1,OIL,1312
101,2,OIL,2144
101,1,OIL,1415
101,1,OIL,1284
101,1,OIL,1607
101,1,OIL,1228
101,1,OIL,1224
101,1,OIL,1200
101,1,OIL,1272
101,1,OIL,1855
101,1,OIL,1744
101,1,OIL,1280
101,1,OIL,1452
101,2,OIL,3741
101,1,OIL,2398
101,1,OIL,1602
101,1,OIL,1700
930,1T,OIL,1154
104,1T,OIL,2766
101,1T,OIL,1428
101,2,OIL,2612
930,,,0
105,2H,OIL,2962
101,2A,GAS,1336
101,1H,OIL,1624
959,1,GAS,2957
101,1T,OIL,3223.75
101,2A,OIL,1939.2
101,1,OIL,2010
101,2,OIL,1776
101,1,OIL,1361
340,1,OIL,3757
101,1,OIL,3857
131,,,0
101,1,OIL,1444
101,1,OIL,1740
101,1,OIL,2956.5
101,2,GAS,2397
101,2,GAS,2385.8
101,1,OIL,1176
140,1,GAS,10980
401,1,GAS,23920
101,1,OIL,2137.4
101,2,OIL,3143
101,1,OIL,1848
101,1,GAS,1675
101,1,OIL,1256
101,2,OIL,1724
101,2A,OIL,3384
101,1,OIL,1251
101,2,OIL,2326
101,1,OIL,1251
101,2,OIL,2000
960,1,GAS,3769.6
936,,,0
300,4,GAS,70669
101,1,OIL,1878
101,1,OIL,2027
101,1A,OIL,1552
340,1,ELECTRIC,1734
961,2,OIL,2979.2
101,2,OIL,2469
962,2A,GAS,44000
330,1,GAS,11838
388,,,0
340,3,GAS,30390
132,,,0
377,2,GAS,159257
323,2,GAS,20866
325,1,GAS,7232
333,1,GAS,3080
392,,,0
330,2,GAS,21812
331,1,GAS,27581
326,1,GAS,3922
330,1,GAS,25132
325,2,OIL,33914
325,1,GAS,23020
330,1,GAS,32420
330,1,GAS,52529
326,1,GAS,1850
392,,,0
330,2,GAS,90702
330,1,GAS,181529
330,1,GAS,10000
330,1,ELECTRIC,1616
37,1,ELECTRIC,16074
341,1,GAS,4720
337,,,0
101,1H,GAS,1296
101,1H,OIL,1296
101,1H,OIL,1860
101,1,OIL,970
340,1,ELECTRIC,2128
325,1,GAS,32800
13,2,GAS,2052
101,1H,OIL,1987.2
101,2,OIL,1728
101,1H,GAS,1296
101,1H,OIL,1296
101,1T,OIL,864
13,1H,GAS,1296
325,,,0
132,,,0
112,3,GAS,111294
392,,,0
323,1,GAS,16444
391,,,0
344,2,GAS,2787
344,2,GAS,2981
930,,,0
962,1H,GAS,1296
444,1,GAS,6055
327,1,GAS,135206
344,2,GAS,740
327,1,GAS,5545
344,2,GAS,2056
102,1,GAS,1288
102,1,GAS,1459
102,1,GAS,1158
102,1,GAS,1158
102,1,GAS,1204
102,1,GAS,1005
102,1,GAS,1210
102,1,GAS,1065
102,1,GAS,1158
102,1,GAS,1158
102,1,GAS,1316
102,1,GAS,1459
344,2,GAS,3669
344,2,GAS,5113
102,1,GAS,1288
102,1,GAS,1459
102,1,GAS,1158
102,1,GAS,1158
102,1,GAS,1204
102,1,GAS,1254
102,1,GAS,1210
102,1,GAS,1254
102,1,GAS,1158
102,1,GAS,1158
102,1,GAS,1293
102,1,GAS,1459
102,1,GAS,1290
102,1,GAS,1217
102,1,GAS,1315
102,1,GAS,1254
102,1,GAS,1363
102,1,GAS,1397
102,1,GAS,1363
102,1,GAS,1391
102,1,GAS,1304
102,1,GAS,1336
102,1,GAS,1499
102,1,GAS,1459
327,,,0
444,1,GAS,6055
327,2,GAS,58530
344,2,GAS,965
327,2,GAS,19113
102,1,GAS,1322
102,1,GAS,1459
102,1,GAS,1158
102,1,GAS,1158
102,1,GAS,1210
102,1,GAS,1065
102,1,GAS,1204
102,1,GAS,1158
102,1,GAS,1607
102,1,GAS,1299
102,1,GAS,1459
102,1,GAS,1316
102,1,GAS,1459
102,1,GAS,1158
102,1,GAS,1158
102,1,GAS,1210
102,1,GAS,1235
102,1,GAS,1204
102,1,GAS,1254
102,1,GAS,1158
102,1,GAS,1158
102,1,GAS,1298
102,1,GAS,1459
102,1,GAS,1499
102,1,GAS,1459
102,1,GAS,1309
102,1,GAS,1298
102,1,GAS,1372
102,1,GAS,1391
102,1,GAS,1363
102,1,GAS,1391
102,1,GAS,1309
102,1,GAS,1258
102,1,GAS,1298
102,1,GAS,1217
344,2,GAS,1312
327,1,GAS,3933
327,1,GAS,7456
327,1,GAS,4737
344,2,GAS,986
344,2,GAS,1208
344,2,GAS,2100
327,2,GAS,2372
344,2,GAS,1343
344,2,GAS,2080
344,2,GAS,1261
344,2,GAS,549
344,2,GAS,2158
344,2,GAS,695
101,1T,OIL,1881.6
101,2,GAS,1728
101,1T,GAS,1584
101,1T,OIL,716.5
101,1T,GAS,1039
101,1T,GAS,1574.8
101,1T,OIL,1436.5
101,1H,GAS,1230.5
101,1H,GAS,1309
101,1T,GAS,943.25
104,1,GAS,2620.8
104,2,GAS,1420.94
101,1T,OIL,942
101,2,GAS,1602
101,2A,GAS,3952
101,2,OIL,3328.72
101,2,OIL,3345.25
101,2,OIL,2928
101,2,OIL,3452
101,2A,OIL,2564
101,2A,OIL,3499.4
101,2,OIL,3023.6
101,2,OIL,4080.6
101,2,OIL,2549
101,2,OIL,4301.2
101,2,GAS,3468
101,2,GAS,4389
101,2,OIL,2886
101,2A,GAS,6218.47
101,2,GAS,3080
101,2A,OIL,2744
101,2,OIL,4296
101,2,GAS,5419
101,2A,OIL,4652.25
101,2,OIL,3076.5
101,2,OIL,3356
101,2,OIL,3934
101,1,OIL,2848.5
101,2,OIL,1760.4
101,1,OIL,2628.5
101,2,OIL,3152.75
101,1,OIL,2055
101,2,OIL,2523
101,1,OIL,1928
101,2,OIL,2052
101,1,OIL,2877.8
101,1,OIL,2968.8
101,2,OIL,1960.4
101,1,OIL,2188
101,1,GAS,1054
101,2,GAS,1616
101,2,GAS,2194
101,1,GAS,1394
101,1,GAS,1698
101,1,GAS,1258
101,2A,GAS,2765.78
101,1,GAS,984
101,1,GAS,1722.6
101,1T,OIL,2103
101,1H,OIL,1102
104,1T,OIL,1568
101,1,GAS,988
104,2,GAS,1676
101,1,OIL,2012.5
101,1,GAS,2613.8
101,1,OIL,2032
111,2T,GAS,6063.75
101,2,OIL,2696
101,1,GAS,1591.5
101,2,OIL,3294.5
101,1,OIL,1645.5
101,1H,OIL,1534
101,1T,OIL,2736.8
101,1,OIL,3079.6
102,2,OIL,1822
102,2,OIL,1269
340,1,GAS,7518
327,1,ELECTRIC,40814
327,1,GAS,14915
327,1,ELECTRIC,111776
101,2,ELECTRIC,2432
101,1T,OIL,2143
101,2,OIL,2168.4
101,1T,OIL,2603
101,2,OIL,2476
101,1T,OIL,3071.1
101,2,OIL,3245.4
101,2,ELECTRIC,3593.8
101,2,OIL,3296
101,1T,OIL,2238
101,1T,OIL,2691
101,1,OIL,2384
101,1,GAS,1614.6
132,,,0
101,2,GAS,3450
101,2,GAS,2452
101,2,GAS,3132
132,,,0
391,,,0
922,2,GAS,25127
101,1,OIL,2579.2
101,1,OIL,1483.2
101,1,OIL,2228
101,2,OIL,2632.8
101,2,OIL,2052
101,1,OIL,2470.4
101,2,OIL,1651
101,1,OIL,2213
101,1,OIL,1956
101,1,OIL,1483.2
101,1,OIL,2193
101,1,GAS,956.8
101,1H,OIL,1782.8
101,1H,GAS,1560
101,1,OIL,1101
101,2,GAS,2125.2
101,2A,OIL,1350
101,2,OIL,1282.8
101,1T,OIL,1274
101,1T,OIL,2047.5
101,2,OIL,1235
101,1H,OIL,1183
101,1H,OIL,1170
101,2,GAS,1488
101,1T,GAS,1605.6
101,1,OIL,1728
101,1T,OIL,1626.15
101,2,OIL,1498
101,1T,OIL,1496.5
101,2,OIL,1610
101,2,OIL,1477.4
104,2,OIL,2977.35
101,2,OIL,1520
101,2,OIL,1427
101,1T,OIL,1942.5
101,2,GAS,1847.5
104,2A,GAS,2643.45
104,2A,OIL,2325.36
101,2H,OIL,2952
111,2H,OIL,3076.5
111,2A,OIL,2484
105,3,GAS,4036.8
101,2,GAS,1587
104,2A,OIL,2848.7
104,2T,GAS,3323
101,1T,GAS,1928.25
101,1T,GAS,986.5
101,2,GAS,1398.6
101,1T,GAS,1344
101,1H,OIL,1536
101,2,OIL,1537
101,1T,OIL,1723.8
101,1T,GAS,1833
101,2A,GAS,1976.7
101,2,GAS,2267
101,1,GAS,1391.8
101,2,OIL,1661
101,1A,OIL,1450.4
101,1H,GAS,1701
101,2A,OIL,2183
104,2A,OIL,1774.8
101,2,OIL,1366
101,2,OIL,1800
401,1,GAS,17568
392,,,0
101,1,OIL,1053
101,2,ELECTRIC,1194.4
101,2,ELECTRIC,1291.2
101,2,GAS,1234.4
101,1T,OIL,1207.5
935,2A,OIL,17084.2
