004-160                       	1	SPOT(RES) WEST/SOUTH                    	127	BIRCH ST                               	          	CITY OF PEABODY                         	JOHN E BURKE MEMORIAL SCHOOL            	24 LOWELL ST                                                                                                                          	PEABODY                                 	MA	01960     	"Improved, Education                     "	                 	           	                                        	          	5751300	3623500	9374800	     	15	54342	SCHOOL                                  	                                        	54342	1	1	02                                      	                                        	          	          	          	          	HW/STEAM                                	                                        	                                        	          	1965	                                        	          	                                        	R1      	 	04                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
010-013                       	4	SPOT(RES) WEST/SOUTH                    	55	RUSSELL ST                             	          	BARDON TRIMOUNT INC                     	C/O TAX DEPARTMENT                      	6211 N ANN ARBOR RD                                                                                                                   	DUNDEE                                  	MI	48131	Sand And Gravel                         	                 	           	                                        	          	4034900	757900	4792800	     	53.8	6142	OFFICE BLDG L/R 1-4S                    	                                        	6142	1	5	02                                      	                                        	          	          	          	          	ELECTRIC                                	                                        	                                        	          	1974	                                        	          	                                        	R1      	 	01                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
010-013                       	4	SPOT(RES) WEST/SOUTH                    	55	RUSSELL ST                             	          	BARDON TRIMOUNT INC                     	C/O TAX DEPARTMENT                      	6211 N ANN ARBOR RD                                                                                                                   	DUNDEE                                  	MI	48131	Sand And Gravel                         	                 	           	                                        	          	4034900	757900	4792800	     	53.8	1086	MFG/PROCESSING                          	                                        	1086	2	5	01                                      	                                        	          	          	          	          	ELECTRIC                                	                                        	                                        	528	1964	                                        	          	                                        	R1      	 	03                                      	2	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
010-013                       	4	SPOT(RES) WEST/SOUTH                    	55	RUSSELL ST                             	          	BARDON TRIMOUNT INC                     	C/O TAX DEPARTMENT                      	6211 N ANN ARBOR RD                                                                                                                   	DUNDEE                                  	MI	48131	Sand And Gravel                         	                 	           	                                        	          	4034900	757900	4792800	     	53.8	3600	MFG/PROCESSING                          	                                        	3600	3	5	01                                      	                                        	          	          	          	          	UNIT HEAT                               	                                        	                                        	          	1978	                                        	          	                                        	R1      	 	07                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
010-013                       	4	SPOT(RES) WEST/SOUTH                    	55	RUSSELL ST                             	          	BARDON TRIMOUNT INC                     	C/O TAX DEPARTMENT                      	6211 N ANN ARBOR RD                                                                                                                   	DUNDEE                                  	MI	48131	Sand And Gravel                         	                 	           	                                        	          	4034900	757900	4792800	     	53.8	1710	MFG/PROCESSING                          	                                        	1710	4	5	01                                      	                                        	          	          	          	          	UNIT HEAT                               	                                        	                                        	          	1940	                                        	          	                                        	R1      	 	07                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
010-013                       	4	SPOT(RES) WEST/SOUTH                    	55	RUSSELL ST                             	          	BARDON TRIMOUNT INC                     	C/O TAX DEPARTMENT                      	6211 N ANN ARBOR RD                                                                                                                   	DUNDEE                                  	MI	48131	Sand And Gravel                         	                 	           	                                        	          	4034900	757900	4792800	     	53.8	720	MFG/PROCESSING                          	                                        	720	5	5	01                                      	                                        	          	          	          	          	ELECTRIC                                	                                        	                                        	          	1972	                                        	          	                                        	R1      	 	03                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
010-016                       	5	SPOT(RES) WEST/SOUTH                    	0	RR & NORRIS BROOK                      	          	CITY OF PEABODY                         	WATER PUMP STATION                      	24 LOWELL ST                                                                                                                          	PEABODY                                 	MA	01960     	"Utility Authority, Electric, Light, Sewe"	                 	           	                                        	          	1210800	113400	1324200	     	8	2504	MFG/PROCESSING                          	                                        	2504	1	1	01                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	1983	                                        	          	                                        	R1      	 	01                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	   	   	   
014-078                       	6	SPOT(RES) WEST/SOUTH                    	743	LOWELL ST                              	          	BOSTON GAS CO                           	NATIONAL GRID/PROP TAX DEPT             	40 SYLVAN RD                                                                                                                          	WALTHAM                                 	MA	02451-1120	Gas Pressure Control Stations           	                 	           	                                        	          	518800	40900	559700	     	1.3	688	MFG/PROCESSING                          	                                        	688	1	1	01                                      	                                        	          	          	          	          	HW/STEAM                                	                                        	                                        	          	1960	                                        	          	                                        	R1      	 	03                                      	2	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
016-041                       	7	SPOT(RES) WEST/SOUTH                    	23	RUSSELL ST                             	R         	CITY OF PEABODY                         	PUMPING STATION                         	24 LOWELL ST                                                                                                                          	PEABODY                                 	MA	01960     	"Utility Authority, Electric, Light, Sewe"	                 	           	                                        	          	334200	166300	500500	     	0.4543	3600	WAREHOUSE                               	                                        	3600	1	1	01                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	2160	1969	                                        	          	                                        	R1      	 	01                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
018-095                       	2913	NEWBURY ST(RT1)-AVG                     	274	NEWBURY ST                             	          	BTD INVESTMENTS LLC                     	                                        	9 MARTIN RD                                                                                                                           	MIDDLETON                               	MA	01949     	Gymnasiums & Athletic Clubs             	35020/87         	21-Jun-16	LAND + BLDG                             	350000	700000	2147700	2847700	     	1	16466	ATHLETIC CLUB/GYM                       	                                        	16466	1	1	01                                      	                                        	          	          	          	          	UNIT HEAT                               	                                        	                                        	          	2020	                                        	          	                                        	MH      	 	08                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
019-001                       	8	ANDOVER(RT114)/SYLVAN- FRINGE           	150	ANDOVER ST                             	DANVERS   	UDR CRANE BROOK LLC                     	C/O B&D EQUITY PROP TAX GROUP           	1745 SHEA CENTER DR - SUITE 200                                                                                                       	HIGHLANDS RANCH                         	CO	80129	Apartments - More than Eight Units      	30337/448        	7-Apr-11	LAND + BLDG                             	64500000	9430000	74034500	83464500	     	17	134606	APARTMENTS-HRISE                        	                                        	134606	1	7	05                                      	                                        	153	          	          	          	HOT AIR                                 	                                        	                                        	3881	2003	                                        	309	                                        	R4      	 	04                                      	1	                                        	   	   	YES	   	   	YES	   	   	   	YES	YES	   	   
