"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"934",NA,54342,2
"410",NA,6142,2
"410",NA,1086,1
"410",NA,3600,1
"410",NA,1710,1
"410",NA,720,1
"971",NA,2504,1
"428",NA,688,1
"971",NA,3600,1
"376",NA,16466,1
"112",NA,134606,5
"112",NA,33442,4
"112",NA,34182,4
"112",NA,59084,4
"112",NA,44595,4
"112",NA,57910,4
"112",NA,29728,4
"316",NA,12780,1
"314",NA,15189,2
"340",NA,15048,2
"325",NA,1350,1
"345",NA,9750,NA
"345",NA,9750,1
"345",NA,11050,1
"960",NA,1673,2
"960",NA,2516,2
"960",NA,22658,1
"960",NA,4735,3
"962",NA,699,1
"934",NA,49052,1
"906",NA,3090,2
"342",NA,13544,2
"323",NA,11162,1
"323",NA,6432,1
"323",NA,3600,2
"323",NA,101630,1
"323",NA,3555,1
"325",NA,8000,1
"325",NA,6944,1
"325",NA,7304,1
"934",NA,41373,1
"961",NA,3605,2
"951",NA,8508,3
"951",NA,6048,1
"931",NA,12660,1
"935",NA,4310,1
"013",NA,1904,1
"013",NA,3070,2
"013",NA,2386,1
"332",NA,4260,1
"316",NA,3428,3
"318",NA,3776,2
"318",NA,640,1
"330",NA,1728,2
"325",NA,9720,2
"316",NA,42000,3
"316",NA,46350,3
"332",NA,1855,1
"330",NA,7160,1
"330",NA,6748,2
"330",NA,25504,1
"330",NA,15581,1
"332",NA,7069,2
"314",NA,22832,1
"333",NA,2400,1
"112",NA,124842,6
"112",NA,130716,6
"112",NA,167118,7
"112",NA,129234,6
"112",NA,172150,5
"112",NA,20735,1
"112",NA,197692,6
"112",NA,82492,3
"112",NA,8547,1
"112",NA,38985,2
"112",NA,134916,6
"112",NA,151074,6
"112",NA,149280,6
"112",NA,152448,7
"112",NA,50362,2
"112",NA,27787,1
"112",NA,0,NA
"323",NA,34109,1
"340",NA,11968,2
"344",NA,1148,1
"344",NA,1435,1
"344",NA,2363,2
"344",NA,4674,1
"316",NA,25680,1
"340",NA,8558,2
"340",NA,3883,2
"323",NA,120830,1
"323",NA,2568,1
"323",NA,2735,1
"323",NA,8623,1
"323",NA,5022,1
"322",NA,98886,1
"031",NA,2160,2
"325",NA,2280,2
"325",NA,5677,2
"325",NA,2508,1
"330",NA,2160,2
"031",NA,2592,2
"325",NA,9184,1
"325",NA,13100,1
"340",NA,2652,2
"326",NA,1726,1
"325",NA,3744,2
"325",NA,3507,2
"325",NA,2160,2
"326",NA,13619,2
"330",NA,41962,2
"326",NA,4648,1
"326",NA,14730,1
"325",NA,2186,2
"325",NA,864,1
"325",NA,2616,1
"400",NA,4160,1
"334",NA,2336,1
"960",NA,19017,1
"430",NA,7349,1
"960",NA,7804,1
"960",NA,9940,2
"951",NA,57752,3
"323",NA,69834,1
"332",NA,5803,1
"325",NA,4914,1
"323",NA,22800,1
"323",NA,30363,1
"326",NA,2532,1
"325",NA,5070,2
"323",NA,43958,1
"321",NA,18556,1
"325",NA,5400,1
"330",NA,21106,1
"376",NA,128345,4
"340",NA,10600,2
"323",NA,33200,2
"934",NA,320088,3
"934",NA,16570,1
"929",NA,31656,1
"325",NA,6035,2
"031",NA,12936,2
"031",NA,16200,1
"031",NA,4900,1
"031",NA,1000,1
"340",NA,18554,3
"326",NA,7158,1
"140",NA,10375,1
"345",NA,3700,1
"345",NA,3360,1
"344",NA,4826,1
"344",NA,4899,1
"985",NA,19404,2
"985",NA,1406,1
"931",NA,2252,2
"931",NA,15048,2
"112",NA,142884,2
"112",NA,95256,2
"112",NA,13860,2
"112",NA,23100,2
"112",NA,31185,2
"960",NA,11300,1
"112",NA,18852,4
"112",NA,48624,4
"112",NA,11904,4
"112",NA,20160,3
"112",NA,50400,3
"112",NA,3883,1
"112",NA,18852,4
"340",NA,4876,2
"325",NA,1827,1
"323",NA,14715,1
"325",NA,7350,1
"316",NA,5852,2
"316",NA,41074,2
"316",NA,38862,2
"316",NA,11842,2
"341",NA,15030,3
"330",NA,37181,1
"332",NA,5192,1
"323",NA,25301,1
"323",NA,2400,1
"326",NA,2831,1
"323",NA,23828,1
"325",NA,4104,2
"325",NA,4480,1
"325",NA,5160,1
"325",NA,14480,1
"326",NA,5472,1
"334",NA,1288,1
"330",NA,23020,2
"330",NA,12050,1
"330",NA,10710,1
"330",NA,22619,1
"342",NA,1300,1
"325",NA,10000,1
"332",NA,5856,2
"304",NA,51500,4
"341",NA,9000,1
"330",NA,1891,1
"332",NA,6556,1
"340",NA,5260,2
"325",NA,4902,2
"340",NA,38000,3
"013",NA,2608,2
"325",NA,10711,1
"341",NA,5484,1
"344",NA,3083,1
"344",NA,3094,2
"344",NA,1567,3
"344",NA,1567,3
"345",NA,7428,2
"112",NA,24756,6
"325",NA,22562,1
"951",NA,528,1
"934",NA,58893,2
"344",NA,12895,1
"940",NA,62442,1
"940",NA,5248,1
"947",NA,17740,1
"940",NA,8203,1
"344",NA,17392,2
"940",NA,2415,1
"325",NA,18960,1
"330",NA,4080,1
"929",NA,8500,1
"325",NA,6442,1
"301",NA,4062,2
"301",NA,1056,2
"340",NA,7440,1
"031",NA,2140,2
"316",NA,7490,1
"340",NA,9000,3
"334",NA,1540,1
"326",NA,9090,1
"960",NA,13819,1
"325",NA,7428,1
"334",NA,1994,1
"323",NA,1500,1
"323",NA,17768,1
"323",NA,12812,1
"334",NA,2006,1
"340",NA,14400,2
"340",NA,2664,1
"344",NA,983,1
"344",NA,1632,1
"344",NA,1345,1
"344",NA,1289,1
"344",NA,1127,1
"344",NA,1479,1
"344",NA,878,1
"344",NA,942,1
"344",NA,698,1
"322",NA,149092,2
"322",NA,26880,1
"112",NA,13144,2
"112",NA,17508,3
"341",NA,34224,2
"322",NA,219282,1
"323",NA,829459,2
"323",NA,143343,2
"323",NA,24815,1
"323",NA,63000,1
"323",NA,11567,1
"323",NA,12824,1
"323",NA,132630,1
"323",NA,3598,1
"323",NA,129840,3
"323",NA,1035,1
"323",NA,5300,1
"324",NA,59213,2
"322",NA,114630,2
"340",NA,68253,3
"343",NA,975,1
"343",NA,975,1
"343",NA,660,1
"343",NA,660,1
"343",NA,748,1
"343",NA,748,1
"343",NA,825,1
"343",NA,875,1
"343",NA,1249,1
"343",NA,1156,1
"343",NA,825,1
"343",NA,485,1
"343",NA,975,2
"343",NA,975,2
"343",NA,823,2
"343",NA,856,2
"343",NA,825,2
"343",NA,1122,2
"343",NA,975,2
"343",NA,975,2
"343",NA,975,2
"343",NA,825,2
"343",NA,990,2
"343",NA,975,3
"343",NA,975,3
"343",NA,823,3
"343",NA,823,3
"343",NA,3560,3
"343",NA,780,3
"343",NA,570,3
"343",NA,986,3
"343",NA,990,3
"331",NA,26494,1
"325",NA,11400,1
"316",NA,80425,3
"953",NA,1344,1
"112",NA,10080,2
"112",NA,5040,2
"112",NA,11724,2
"112",NA,4872,2
"112",NA,4872,2
"112",NA,10080,2
"112",NA,4872,2
"112",NA,10080,2
"112",NA,10800,2
