"USECODE_char","FUELTYPE","AREASQ","STORYHEIGHT","USECODE"
"Improved, Education",NA,54342,2,934
"Sand And Gravel",NA,6142,2,410
"Sand And Gravel",NA,1086,1,410
"Sand And Gravel",NA,3600,1,410
"Sand And Gravel",NA,1710,1,410
"Sand And Gravel",NA,720,1,410
"Utility Authority, Electric, Light, Sewe",NA,2504,1,971
"Gas Pressure Control Stations",NA,688,1,428
"Utility Authority, Electric, Light, Sewe",NA,3600,1,971
"Gymnasiums & Athletic Clubs",NA,16466,1,376
"Apartments - More than Eight Units",NA,134606,5,112
"Apartments - More than Eight Units",NA,33442,4,112
"Apartments - More than Eight Units",NA,34182,4,112
"Apartments - More than Eight Units",NA,59084,4,112
"Apartments - More than Eight Units",NA,44595,4,112
"Apartments - More than Eight Units",NA,57910,4,112
"Apartments - More than Eight Units",NA,29728,4,112
"Storage, Warehouses And Distribution",NA,12780,1,NA
"Truck Terminals",NA,15189,2,314
"General Office",NA,15048,2,340
"Small Retail And Service Stores Under 10",NA,1350,1,325
"Commercial Condominium",NA,9750,NA,NA
"Commercial Condominium",NA,9750,1,NA
"Commercial Condominium",NA,11050,1,NA
"Church, Mosque, Synagogue, Temple etc",NA,1673,2,960
"Church, Mosque, Synagogue, Temple etc",NA,2516,2,960
"Church, Mosque, Synagogue, Temple etc",NA,22658,1,960
"Church, Mosque, Synagogue, Temple etc",NA,4735,3,960
"Religious Group - Other",NA,699,1,962
"Improved, Education",NA,49052,1,934
"Churches, Synagogues And Temples",NA,3090,2,960
"Medical Office",NA,13544,2,342
"Shopping Centers",NA,11162,1,323
"Shopping Centers",NA,6432,1,323
"Shopping Centers",NA,3600,2,323
"Shopping Centers",NA,101630,1,323
"Shopping Centers",NA,3555,1,323
"Small Retail And Service Stores Under 10",NA,8000,1,325
"Small Retail And Service Stores Under 10",NA,6944,1,325
"Small Retail And Service Stores Under 10",NA,7304,1,325
"Improved, Education",NA,41373,1,934
"Rectory or Parsonage etc",NA,3605,2,961
"Charitable - Other",NA,8508,3,951
"Charitable - Other",NA,6048,1,951
"Improved - Selectman/City Council",NA,12660,1,931
"Improved, Municipal Public Safety",NA,4310,1,935
"Multiple Use - Primarily Residential",NA,1904,1,13
"Multiple Use - Primarily Residential",NA,3070,2,13
"Multiple Use - Primarily Residential",NA,2386,1,13
"Automobile Repair",NA,4260,1,332
"Storage, Warehouses And Distribution",NA,3428,3,NA
"Commercial Greenhouses",NA,3776,2,318
"Commercial Greenhouses",NA,640,1,318
"Automotive Vehicles Sales & Services",NA,1728,2,330
"Small Retail And Service Stores Under 10",NA,9720,2,325
"Storage, Warehouses And Distribution",NA,42000,3,NA
"Storage, Warehouses And Distribution",NA,46350,3,NA
"Automobile Repair",NA,1855,1,332
"Automotive Vehicles Sales & Services",NA,7160,1,330
"Automotive Vehicles Sales & Services",NA,6748,2,330
"Automotive Vehicles Sales & Services",NA,25504,1,330
"Automotive Vehicles Sales & Services",NA,15581,1,330
"Automobile Repair",NA,7069,2,332
"Truck Terminals",NA,22832,1,314
"Fuel Service Only",NA,2400,1,333
"Apartments - More than Eight Units",NA,124842,6,112
"Apartments - More than Eight Units",NA,130716,6,112
"Apartments - More than Eight Units",NA,167118,7,112
"Apartments - More than Eight Units",NA,129234,6,112
"Apartments - More than Eight Units",NA,172150,5,112
"Apartments - More than Eight Units",NA,20735,1,112
"Apartments - More than Eight Units",NA,197692,6,112
"Apartments - More than Eight Units",NA,82492,3,112
"Apartments - More than Eight Units",NA,8547,1,112
"Apartments - More than Eight Units",NA,38985,2,112
"Apartments - More than Eight Units",NA,134916,6,112
"Apartments - More than Eight Units",NA,151074,6,112
"Apartments - More than Eight Units",NA,149280,6,112
"Apartments - More than Eight Units",NA,152448,7,112
"Apartments - More than Eight Units",NA,50362,2,112
"Apartments - More than Eight Units",NA,27787,1,112
"Apartments - More than Eight Units",NA,0,NA,112
"Shopping Centers",NA,34109,1,323
"General Office",NA,11968,2,340
"Office Condominium",NA,1148,1,NA
"Office Condominium",NA,1435,1,NA
"Office Condominium",NA,2363,2,NA
"Office Condominium",NA,4674,1,NA
"Storage, Warehouses And Distribution",NA,25680,1,NA
"General Office",NA,8558,2,340
"General Office",NA,3883,2,340
"Shopping Centers",NA,120830,1,323
"Shopping Centers",NA,2568,1,323
"Shopping Centers",NA,2735,1,323
"Shopping Centers",NA,8623,1,323
"Shopping Centers",NA,5022,1,323
"Discount Stores",NA,98886,1,322
"Multiple Use - Primarily Commercial",NA,2160,2,31
"Small Retail And Service Stores Under 10",NA,2280,2,325
"Small Retail And Service Stores Under 10",NA,5677,2,325
"Small Retail And Service Stores Under 10",NA,2508,1,325
"Automotive Vehicles Sales & Services",NA,2160,2,330
"Multiple Use - Primarily Commercial",NA,2592,2,31
"Small Retail And Service Stores Under 10",NA,9184,1,325
"Small Retail And Service Stores Under 10",NA,13100,1,325
"General Office",NA,2652,2,340
"Eating And Drinking Establishments",NA,1726,1,326
"Small Retail And Service Stores Under 10",NA,3744,2,325
"Small Retail And Service Stores Under 10",NA,3507,2,325
"Small Retail And Service Stores Under 10",NA,2160,2,325
"Eating And Drinking Establishments",NA,13619,2,326
"Automotive Vehicles Sales & Services",NA,41962,2,330
"Eating And Drinking Establishments",NA,4648,1,326
"Eating And Drinking Establishments",NA,14730,1,326
"Small Retail And Service Stores Under 10",NA,2186,2,325
"Small Retail And Service Stores Under 10",NA,864,1,325
"Small Retail And Service Stores Under 10",NA,2616,1,325
"Manufacturing Facilities",NA,4160,1,400
"Automotive Gas Sales & Service",NA,2336,1,334
"Church, Mosque, Synagogue, Temple etc",NA,19017,1,960
"Telephone Exchange Stations",NA,7349,1,430
"Church, Mosque, Synagogue, Temple etc",NA,7804,1,960
"Church, Mosque, Synagogue, Temple etc",NA,9940,2,960
"Charitable - Other",NA,57752,3,951
"Shopping Centers",NA,69834,1,323
"Automobile Repair",NA,5803,1,332
"Small Retail And Service Stores Under 10",NA,4914,1,325
"Shopping Centers",NA,22800,1,323
"Shopping Centers",NA,30363,1,323
"Eating And Drinking Establishments",NA,2532,1,326
"Small Retail And Service Stores Under 10",NA,5070,2,325
"Shopping Centers",NA,43958,1,323
"Retail Building Materials, Farm Equipmen",NA,18556,1,321
"Eating And Drinking Establishments",NA,5400,1,326
"Automotive Vehicles Sales & Services",NA,21106,1,330
"Gymnasiums & Athletic Clubs",NA,128345,4,376
"General Office",NA,10600,2,340
"Shopping Centers",NA,33200,2,323
"Improved, Education",NA,320088,3,934
"Improved, Education",NA,16570,1,934
"Other",NA,31656,1,NA
"Small Retail And Service Stores Under 10",NA,6035,2,325
"Multiple Use - Primarily Commercial",NA,12936,2,31
"Multiple Use - Primarily Commercial",NA,16200,1,31
"Multiple Use - Primarily Commercial",NA,4900,1,31
"Multiple Use - Primarily Commercial",NA,1000,1,31
"General Office",NA,18554,3,340
"Eating And Drinking Establishments",NA,7158,1,326
"Child Care Facility",NA,10375,1,140
"Commercial Condominium",NA,3700,1,NA
"Commercial Condominium",NA,3360,1,NA
"Office Condominium",NA,4826,1,NA
"Office Condominium",NA,4899,1,NA
"Improved Municipal or Public Safety Othe",NA,19404,2,935
"Improved Municipal or Public Safety Othe",NA,1406,1,935
"Improved - Selectman/City Council",NA,2252,2,931
"Improved - Selectman/City Council",NA,15048,2,931
"Apartments - More than Eight Units",NA,142884,2,112
"Apartments - More than Eight Units",NA,95256,2,112
"Apartments - More than Eight Units",NA,13860,2,112
"Apartments - More than Eight Units",NA,23100,2,112
"Apartments - More than Eight Units",NA,31185,2,112
"Church, Mosque, Synagogue, Temple etc",NA,11300,1,960
"Apartments - More than Eight Units",NA,18852,4,112
"Apartments - More than Eight Units",NA,48624,4,112
"Apartments - More than Eight Units",NA,11904,4,112
"Apartments - More than Eight Units",NA,20160,3,112
"Apartments - More than Eight Units",NA,50400,3,112
"Apartments - More than Eight Units",NA,3883,1,112
"Apartments - More than Eight Units",NA,18852,4,112
"General Office",NA,4876,2,340
"Small Retail And Service Stores Under 10",NA,1827,1,325
"Shopping Centers",NA,14715,1,323
"Small Retail And Service Stores Under 10",NA,7350,1,325
"Storage, Warehouses And Distribution",NA,5852,2,NA
"Storage, Warehouses And Distribution",NA,41074,2,NA
"Storage, Warehouses And Distribution",NA,38862,2,NA
"Storage, Warehouses And Distribution",NA,11842,2,NA
"Banks",NA,15030,3,341
"Automotive Vehicles Sales & Services",NA,37181,1,330
"Automobile Repair",NA,5192,1,332
"Shopping Centers",NA,25301,1,323
"Shopping Centers",NA,2400,1,323
"Eating And Drinking Establishments",NA,2831,1,326
"Shopping Centers",NA,23828,1,323
"Small Retail And Service Stores Under 10",NA,4104,2,325
"Small Retail And Service Stores Under 10",NA,4480,1,325
"Small Retail And Service Stores Under 10",NA,5160,1,325
"Small Retail And Service Stores Under 10",NA,14480,1,325
"Eating And Drinking Establishments",NA,5472,1,326
"Automotive Gas Sales & Service",NA,1288,1,334
"Automotive Vehicles Sales & Services",NA,23020,2,330
"Automotive Vehicles Sales & Services",NA,12050,1,330
"Automotive Vehicles Sales & Services",NA,10710,1,330
"Automotive Vehicles Sales & Services",NA,22619,1,330
"Medical Office",NA,1300,1,342
"Small Retail And Service Stores Under 10",NA,10000,1,325
"Automobile Repair",NA,5856,2,332
"Nursing Homes",NA,51500,4,304
"Banks",NA,9000,1,341
"Automotive Vehicles Sales & Services",NA,1891,1,330
"Automobile Repair",NA,6556,1,332
"General Office",NA,5260,2,340
"Small Retail And Service Stores Under 10",NA,4902,2,325
"General Office",NA,38000,3,340
"Multiple Use - Primarily Residential",NA,2608,2,13
"Small Retail And Service Stores Under 10",NA,10711,1,325
"Banks",NA,5484,1,341
"Office Condominium",NA,3083,1,NA
"Office Condominium",NA,3094,2,NA
"Office Condominium",NA,1567,3,NA
"Office Condominium",NA,1567,3,NA
"Commercial Condominium",NA,7428,2,NA
"Apartments - More than Eight Units",NA,24756,6,112
"Small Retail And Service Stores Under 10",NA,22562,1,325
"Charitable - Other",NA,528,1,951
"Improved, Education",NA,58893,2,934
"Office Condominium",NA,12895,1,NA
"Elementary School",NA,62442,1,940
"Elementary School",NA,5248,1,940
"Educational  Private - Other",NA,17740,1,947
"Elementary School",NA,8203,1,940
"Office Condominium",NA,17392,2,NA
"Elementary School",NA,2415,1,940
"Small Retail And Service Stores Under 10",NA,18960,1,325
"Automotive Vehicles Sales & Services",NA,4080,1,330
"Other",NA,8500,1,NA
"Small Retail And Service Stores Under 10",NA,6442,1,325
"Motels",NA,4062,2,301
"Motels",NA,1056,2,301
"General Office",NA,7440,1,340
"Multiple Use - Primarily Commercial",NA,2140,2,31
"Storage, Warehouses And Distribution",NA,7490,1,NA
"General Office",NA,9000,3,340
"Automotive Gas Sales & Service",NA,1540,1,334
"Eating And Drinking Establishments",NA,9090,1,326
"Church, Mosque, Synagogue, Temple etc",NA,13819,1,960
"Small Retail And Service Stores Under 10",NA,7428,1,325
"Automotive Gas Sales & Service",NA,1994,1,334
"Shopping Centers",NA,1500,1,323
"Shopping Centers",NA,17768,1,323
"Shopping Centers",NA,12812,1,323
"Automotive Gas Sales & Service",NA,2006,1,334
"General Office",NA,14400,2,340
"General Office",NA,2664,1,340
"Office Condominium",NA,983,1,NA
"Office Condominium",NA,1632,1,NA
"Office Condominium",NA,1345,1,NA
"Office Condominium",NA,1289,1,NA
"Office Condominium",NA,1127,1,NA
"Office Condominium",NA,1479,1,NA
"Office Condominium",NA,878,1,NA
"Office Condominium",NA,942,1,NA
"Office Condominium",NA,698,1,NA
"Discount Stores",NA,149092,2,322
"Discount Stores",NA,26880,1,322
"Apartments - More than Eight Units",NA,13144,2,112
"Apartments - More than Eight Units",NA,17508,3,112
"Banks",NA,34224,2,341
"Discount Stores",NA,219282,1,322
"Shopping Centers",NA,829459,2,323
"Shopping Centers",NA,143343,2,323
"Shopping Centers",NA,24815,1,323
"Shopping Centers",NA,63000,1,323
"Shopping Centers",NA,11567,1,323
"Shopping Centers",NA,12824,1,323
"Shopping Centers",NA,132630,1,323
"Shopping Centers",NA,3598,1,323
"Shopping Centers",NA,129840,3,323
"Shopping Centers",NA,1035,1,323
"Shopping Centers",NA,5300,1,323
"Supermarkets Greater Than 10,000 Sf",NA,59213,2,324
"Discount Stores",NA,114630,2,322
"General Office",NA,68253,3,340
"Medical Condominium",NA,975,1,NA
"Medical Condominium",NA,975,1,NA
"Medical Condominium",NA,660,1,NA
"Medical Condominium",NA,660,1,NA
"Medical Condominium",NA,748,1,NA
"Medical Condominium",NA,748,1,NA
"Medical Condominium",NA,825,1,NA
"Medical Condominium",NA,875,1,NA
"Medical Condominium",NA,1249,1,NA
"Medical Condominium",NA,1156,1,NA
"Medical Condominium",NA,825,1,NA
"Medical Condominium",NA,485,1,NA
"Medical Condominium",NA,975,2,NA
"Medical Condominium",NA,975,2,NA
"Medical Condominium",NA,823,2,NA
"Medical Condominium",NA,856,2,NA
"Medical Condominium",NA,825,2,NA
"Medical Condominium",NA,1122,2,NA
"Medical Condominium",NA,975,2,NA
"Medical Condominium",NA,975,2,NA
"Medical Condominium",NA,975,2,NA
"Medical Condominium",NA,825,2,NA
"Medical Condominium",NA,990,2,NA
"Medical Condominium",NA,975,3,NA
"Medical Condominium",NA,975,3,NA
"Medical Condominium",NA,823,3,NA
"Medical Condominium",NA,823,3,NA
"Medical Condominium",NA,3560,3,NA
"Medical Condominium",NA,780,3,NA
"Medical Condominium",NA,570,3,NA
"Medical Condominium",NA,986,3,NA
"Medical Condominium",NA,990,3,NA
"Automotive Supplies Retail",NA,26494,1,331
"Small Retail And Service Stores Under 10",NA,11400,1,325
"Storage, Warehouses And Distribution",NA,80425,3,NA
"Cemetaries",NA,1344,1,953
"Apartments - More than Eight Units",NA,10080,2,112
"Apartments - More than Eight Units",NA,5040,2,112
"Apartments - More than Eight Units",NA,11724,2,112
"Apartments - More than Eight Units",NA,4872,2,112
"Apartments - More than Eight Units",NA,4872,2,112
"Apartments - More than Eight Units",NA,10080,2,112
"Apartments - More than Eight Units",NA,4872,2,112
"Apartments - More than Eight Units",NA,10080,2,112
"Apartments - More than Eight Units",NA,10800,2,112
"Apartments - More than Eight Units",NA,10668,2,112
"Apartments - More than Eight Units",NA,5040,2,112
"Eating And Drinking Establishments",NA,1064,1,326
"Small Retail And Service Stores Under 10",NA,2200,1,325
"Eating And Drinking Establishments",NA,8079,3,326
"Manufacturing Warehouse Facilities",NA,8000,1,401
"Manufacturing Warehouse Facilities",NA,3888,1,401
"Utility Authority, Electric, Light, Sewe",NA,2945,1,971
"Other Motor Vehicles Sales & Services",NA,3010,1,338
"Manufacturing Warehouse Facilities",NA,146122,4,401
"Manufacturing Warehouse Facilities",NA,64440,4,401
"Automobile Repair",NA,1320,1,332
"Manufacturing Facilities",NA,8816,1,400
"Manufacturing Warehouse Facilities",NA,172048,2,401
"Manufacturing Facilities",NA,32591,2,400
"Manufacturing Facilities",NA,26500,1,400
"Manufacturing Warehouse Facilities",NA,19008,1,401
"Manufacturing Facilities",NA,94440,1,400
"Manufacturing Warehouse Facilities",NA,27000,2,401
"Commercial Condominium",NA,7208,1,NA
"Commercial Condominium",NA,7108,1,NA
"Commercial Condominium",NA,3558,1,NA
"Commercial Condominium",NA,3008,1,NA
"Commercial Condominium",NA,7008,1,NA
"Commercial Condominium",NA,8918,1,NA
"Commercial Condominium",NA,3008,1,NA
"Commercial Condominium",NA,3008,1,NA
"Industrial Condo",NA,9016,1,NA
"Commercial Condominium",NA,2343,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,1010,1,NA
"Commercial Condominium",NA,1010,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Commercial Condominium",NA,880,1,NA
"Multiple Use - Primarily Commercial",NA,3764,2,31
"Multiple Use - Primarily Commercial",NA,4600,1,31
"Multiple Use - Primarily Commercial",NA,2853,2,31
"Automotive Vehicles Sales & Services",NA,1209,1,330
"Multiple Use - Primarily Commercial",NA,1800,1,31
"Storage, Warehouses And Distribution",NA,5736,1,NA
"Secondary Level",NA,124202,3,941
"Secondary Level",NA,16302,1,941
"Secondary Level",NA,9464,2,941
"Secondary Level",NA,6148,3,941
"Secondary Level",NA,3120,1,941
"Utility Authority, Electric, Light, Sewe",NA,19024,2,971
"Automobile Repair",NA,7899,1,332
"Automobile Repair",NA,1663,1,332
"Shopping Centers",NA,11450,1,323
"Eating And Drinking Establishments",NA,7482,1,326
"Small Retail And Service Stores Under 10",NA,8252,1,325
"Small Retail And Service Stores Under 10",NA,510,1,325
"Shopping Centers",NA,25000,1,323
"Retail Building Materials, Farm Equipmen",NA,23375,2,321
"Fuel Service Only",NA,1947,1,333
"Fuel Service Only",NA,3060,2,333
"Manufacturing Facilities",NA,14880,2,400
"Manufacturing Facilities",NA,12610,1,400
"Manufacturing Facilities",NA,26356,1,400
"Eating And Drinking Establishments",NA,22890,2,326
"Manufacturing Facilities",NA,31308,2,400
"Motels",NA,14784,1,301
"Eating And Drinking Establishments",NA,3500,1,326
"Other",NA,2800,1,NA
"Other",NA,512,2,NA
"Other",NA,4522,1,NA
"Commercial Condominium",NA,9612,1,NA
"Commercial Condominium",NA,9994,2,NA
"Commercial Condominium",NA,9088,NA,NA
"Golfing - Areas Of Land Arranged As A Go",NA,49398,2,283
"Golfing - Areas Of Land Arranged As A Go",NA,7200,1,283
"Golfing - Areas Of Land Arranged As A Go",NA,5253,1,283
"Golfing - Areas Of Land Arranged As A Go",NA,2034,1,283
"Golfing - Areas Of Land Arranged As A Go",NA,6681,1,283
"Church, Mosque, Synagogue, Temple etc",NA,18695,1,960
"General Office",NA,3496,2,340
"Eating And Drinking Establishments",NA,9440,2,326
"Elementary School",NA,11764,3,940
"Medical Office",NA,2050,1,342
"Improved, Municipal Public Safety",NA,5034,2,935
"Office Condominium",NA,6941,1,NA
"Office Condominium",NA,1488,2,NA
"Office Condominium",NA,854,2,NA
"Office Condominium",NA,788,2,NA
"Office Condominium",NA,832,2,NA
"Office Condominium",NA,695,2,NA
