"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"102","Gas",1228,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1221,2
"102","Electric",1078,2
"102","Electric",1002,2
"102","Gas",1002,2
"102","Electric",1002,2
"102","Electric",1030,2
"102","Electric",1002,2
"102","Electric",1002,2
"102","Electric",1002,2
"102","Electric",1002,2
"102","Gas",1078,2
"102","Electric",1078,2
"102","Electric",1074,2
"102","Electric",1074,2
"102","Electric",1074,2
"102","Electric",1074,2
"102","Electric",1074,2
"102","Electric",1074,2
"102","Electric",1074,2
"102","Electric",1074,2
"102","Electric",1074,2
"102","Electric",1078,2
"102","Electric",1276,2
"102","Electric",1217,2
"102","Electric",1217,2
"102","Electric",1217,2
"102","Electric",1217,2
"102","Electric",1217,2
"102","Electric",1217,2
"102","Electric",1146,2
"102","Electric",1217,2
"102","Electric",1146,2
"102","Electric",1221,2
"102","Electric",1221,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2
"102","Electric",1146,2.5
"102","Electric",1146,2
"102","Electric",1221,2
"102","Electric",1116,2
"102","Electric",1116,2
"102","Electric",1116,2
"102","Electric",1098,2
"102","Electric",1098,2
"102","Electric",1116,2
"102","Electric",1116,2
"102","Electric",1098,2
"102","Electric",1098,2
"102","Electric",1116,2
"102","Electric",1116,2
"102","Electric",1116,2
"102","Gas",1540,1.5
"102","Gas",1540,1.5
"102","Gas",1492,2
"102","Gas",1492,2
"102","Gas",1540,1.5
"102","Gas",1540,1.5
"102","Gas",1621,1.75
"102","Gas",1546,2
"102","Gas",1540,1.75
"102","Gas",1540,1.5
"102","Gas",1492,2
"102","Gas",1492,2.5
"102","Gas",1320,1.5
"102","Gas",1540,1.75
"102","Gas",1430,2
"102","Gas",1546,2
"102","Electric",1260,2
"102","Electric",1260,2
"102","Electric",1260,2
"102","Electric",1260,2
"102","Electric",1260,2
"102","Electric",1260,2
"102","Electric",1260,2
"102","Electric",1260,2
"102","Electric",1226,2
"102","Electric",1226,2
"102","Electric",1226,2
"102","Electric",1226,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1276,2
"102","Gas",1467,2
"102","Gas",1494,2
"102","Gas",1494,2
"102","Gas",1494,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",2107,1.75
"102","Gas",2268,1.75
"102","Gas",2128,2
"102","Gas",2107,2
"102","Gas",2107,2
"102","Gas",2107,2
"102","Gas",2107,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",2128,2
"102","Gas",2107,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2107,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",2107,2
"102","Gas",2107,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",2107,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2107,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2247,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",2107,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",2128,1.75
"102","Gas",1981,2
"102","Gas",2128,2
"102","Gas",1960,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1818,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1960,2
"102","Gas",1981,2
"102","Gas",1981,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1818,2
"102","Gas",1981,2
"102","Gas",1981,2
"102","Gas",1960,2
"102","Gas",1981,2
"102","Gas",1370,1
"102","Gas",1618,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1960,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1981,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1960,2
"102","Gas",1960,2
"102","Gas",1370,1
"102","Gas",1594,1
"102","Gas",1392,1
"102","Gas",1370,1
"102","Gas",1706,1.5
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1706,1
"102","Gas",1646,1
"102","Gas",1897,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1818,2
"102","Gas",1370,1
"102","Gas",1356,1
"102","Gas",2170,2
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",2128,2
"102","Gas",2128,2
"102","Gas",1370,1
"102","Gas",1370,2
"102","Gas",1490,1
"102","Gas",1370,1
"102","Gas",1370,1
"102","Gas",1584,1
"102","Gas",1498,1.5
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1274,1
"102","Gas",1881,1.5
"102","Gas",1274,1
"102","Gas",1400,1
"102","Gas",1392,1
"102","Gas",1400,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1400,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1400,1
"102","Gas",1392,1
"102","Gas",1400,1
"102","Gas",1392,1
"102","Gas",1386,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1404,1
"102","Gas",1404,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1881,1.5
"102","Gas",1881,1.5
"102","Gas",1897,1.5
"102","Gas",1404,1
"102","Gas",1404,1
"102","Gas",1404,1
"102","Gas",1404,1
"102","Gas",1392,1
"102","Gas",1584,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1400,1
"102","Gas",1406,1
"102","Gas",1400,1
"102","Gas",1406,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1406,1
"102","Gas",1309,1
"102","Gas",1406,1
"102","Gas",1318,1
"102","Gas",1392,1
"102","Gas",1542,1.5
"102","Gas",1519,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1881,1.5
"102","Gas",1318,1
"102","Gas",1881,1.5
"102","Gas",1320,1
"102","Gas",1392,1
"102","Gas",1370,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1274,1
"102","Gas",1274,1
"102","Gas",1370,1
"102","Gas",1810,1
"102","Gas",1392,1
"102","Gas",1274,1
"102","Gas",1722,1.5
"102","Gas",1356,1.5
"102","Gas",1941,1.5
"102","Gas",1370,1
"102","Gas",1941,1.5
"102","Gas",1392,1
"102","Gas",1941,2
"102","Gas",1392,1
"102","Gas",1274,1
"102","Gas",1274,1
"102","Gas",1392,1
"102","Gas",1498,NA
"102","Gas",1498,1.5
"102","Gas",1871,1.5
"102","Gas",1564,1
"102","Gas",1950,1.5
"102","Gas",1274,1
"102","Gas",1434,1
"102","Gas",1274,1
"102","Gas",1274,1
"102","Gas",1274,1
"102","Gas",1498,1.5
"102","Gas",1498,1.5
"102","Gas",1920,1.5
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1274,1
"102","Gas",1392,1
"102","Gas",1514,1
"102","Gas",1962,1.5
"102","Gas",1936,1.5
"102","Gas",1274,1
"102","Gas",1734,1.5
"102","Gas",1274,1
"102","Gas",1392,1
"102","Gas",2084,2
"102","Gas",2802,2
"102","Gas",2084,2
"102","Gas",2084,2
"102","Gas",2084,2
"102","Gas",2084,2
"102","Gas",2305,2
"102","Gas",1380,1
"102","Gas",1392,1
"102","Oil",1756,2
"102","Oil",1254,2
"102","Oil",600,1
"102","Oil",681,1
"102","Oil",1038,1
"102","Oil",858,1
"102","Oil",549,1
"102","Gas",1776,2
"102","Gas",2572,2
"102","Gas",1776,2
"102","Gas",2572,2
"102","Gas",1776,2
"102","Gas",1761,2
"102","Gas",1765,2
"102","Gas",1761,2
"102","Gas",1765,2
"102","Gas",2565,2
"102","Gas",1765,2
"102","Gas",2282,2
"102","Gas",2270,2
"102","Gas",1895,2
"102","Gas",2282,2
"102","Gas",1895,2
"102","Gas",2238,2
"102","Gas",1895,2
"102","Gas",2226,2
"102","Gas",2238,2
"102","Gas",2238,2
"102","Gas",1809,2
"102","Gas",2238,2
"102","Gas",1416,3
"102","Gas",1416,3
"102","Gas",1416,2
"102","Gas",1416,3
"102","Gas",1777,2
"102","Gas",1777,2
"102","Gas",1777,2
"102","Gas",1777,2
"102","Gas",1777,2
"102","Gas",1777,2
"102","Gas",2094,2
"102","Gas",1762,2
"102","Gas",2139,2
"102","Gas",2082,2
"102","Gas",2150,2
"102","Gas",2164,2
"102","Gas",2240,2
"102","Gas",2164,2
"102","Gas",2240,2
"102","Gas",2136,2
"102","Gas",2155,2
"102","Gas",2136,2
"102","Gas",2346,2
"102","Gas",2110,2
"102","Gas",2534,2
"102","Gas",2101,2
"102","Gas",2240,2
"102","Gas",1765,2
"102","Gas",2202,2
"102","Gas",2288,2
"102","Gas",2096,2
"102","Gas",2070,2
"102","Gas",2274,2
"102","Gas",1911,1.5
"102","Gas",1318,1
"102","Gas",1911,1.5
"102","Gas",1320,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1392,1
"102","Gas",1320,1
"102","Gas",1315,1
"102","Gas",1392,1
"102","Gas",1522,1
"102","Gas",1392,1
"102","Gas",1396,1
"102","Gas",1315,1
"102","Gas",1398,1
"102","Gas",1911,1.5
"102","Gas",1392,1
"102","Oil",2067,2
"102","Electric",528,1
"102","Gas",2001,1.5
"102","Gas",1448,2
"102","Gas",1412,2
"102","Gas",1412,2
"102","Gas",1412,2
"102","Gas",1552,1
"102","Gas",1596,2
"102","Gas",1596,2
"102","Gas",1596,2
"102","Gas",1596,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1988,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1988,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Electric",1372,2
"102","Gas",1772,2
"102","Gas",1772,2
"102","Gas",1772,2
"102","Gas",1772,2
"102","Gas",1804,1
"102","Gas",2153,1
"102","Gas",2153,1
"102","Gas",1798,1
"102","Gas",1804,1
"102","Gas",2144,1
"102","Gas",2148,1
"102","Gas",2099,1
"102","Gas",1780,2
"102","Gas",1780,NA
"102","Gas",1780,2
"102","Gas",1780,2
"102","Propane",1738,2
"102","Propane",1738,2
"102","Propane",1842,2
"102","Propane",1796,2
"958","Gas",2816,1
"410","Oil",5000,1
"112","Gas",9251,2
"960","Oil",4278,1
"953","Coal or Wood",484,1
"304","Electric",37977,1
"031","Oil",3392,2
"970","Oil",2308,1
"920","Oil",38921,2
"931","Gas",10202,1
"112","Gas",7150,2
"112","Gas",7150,2
"112","Gas",7150,2
"935","Electric",8680,2
"111","Gas",4976,2
"960","Gas",14624,1
"323","Gas",28463,2
"010","Oil",2696,1.75
"111","Gas",4547,2
"323","Gas",5000,1
"111","Gas",4626,2
"931","Gas",93606,1
"960","Gas",7174,1
"934","Gas",49752,1.5
"322","Electric",1080,1
"342","Gas",1536,1
"342","Electric",1440,1.5
"111","Gas",4626,2
"939","Gas",4977,1.5
"111","Gas",6280,3
"322","Oil",1960,1
"935","Gas",4290,2
"031","Gas",3605,2.5
"010","Gas",7050,2
"971","Gas",6308,2
"323","Gas",5434,1
"400","Oil",4979,1.5
"340","Gas",2048,1
"340","Gas",4846,1
"342","Gas",2412,2
"942","Electric",1369,1.5
"430","Oil",2340,1
"931","Gas",13388,1.5
"954","Oil",4560,2
"323","Gas",7828,2
"031","Oil",3960,2.5
"031","Oil",4376,2
"954","Oil",3730,1
"322","Gas",2433,1
"031","Gas",5385,2
"960","Gas",14076,1
"960","Oil",5430,1
"325","Gas",2684,1
"334","Oil",1601,1
"322","Oil",1616,1.75
"971","Gas",2259,1
"971","Gas",304,1
"316","Gas",1728,2
"331","Gas",1521,1.5
"326","Gas",22412,2
"340","Gas",1400,1
"322","Oil",2833,1
"931","Gas",9088,2
"322","Gas",5448,1
"323","Gas",21560,1
"323","Gas",52780,1
"322","Gas",105125,1
"038","Oil",120,1
"038","Gas",30211,1.5
"316","Electric",7728,1
"322","Gas",102067,1
"031","Gas",1647,1
"318","Gas",4485,1
"335","Gas",7288,1
"960","Oil",7656,2
"341","Gas",4444,1
"112","Gas",8386,2
"031","Oil",20332,1.5
"326","Gas",4163,1
"326","Gas",9796,2
"326","Gas",5026,1
"112","Oil",6272,2
"112","Oil",6200,2
"970","Gas",2722,2
"322","Gas",4364,1
"322","Gas",13176,1
"323","Gas",10308,1
"341","Oil",1855,1
"322","Gas",2272,1
"112","Gas",6579,2
"112","Gas",6451,2
"032","Gas",70253,1
"316","Gas",6408,1
"322","Gas",5220,1
"322","Oil",1890,1
"332","Oil",6750,1
"401","Gas",11856,1
"340","Gas",3001,2
"400","Gas",19369,1
"326","Gas",1012,1
"322","Gas",10474,1.5
"322","Electric",2704,1
"334","Gas",1650,1
"401","Coal or Wood",16084,2
"323","Gas",70963,2
"326","Gas",600,1
"326","Gas",2275,1
"341","Oil",2416,1
"332","Gas",5562,1
"332","Gas",2460,1
"341","Gas",1944,1
"340","Gas",1444,1.5
"332","Gas",1134,1
"010","Gas",3670,1
"111","Gas",6673,2
"322","Oil",4227,1.5
"322","Gas",1625,1
"322","Gas",3528,1
"325","Gas",1800,1
"322","Gas",4176,1
"322","Gas",1000,1.5
"316","Gas",3582,1
"326","Gas",4072,1
"323","Gas",11695,1
"326","Gas",1977,1
"402","Gas",75691,1
"402","Gas",2384,1
"402","Oil",1631,1
"400","Oil",12000,1
"402","Electric",1250,2
"322","Gas",5020,1
"954","Electric",3592,1
"401","Gas",147200,1
"401","Gas",35920,1
"401","Gas",33552,1
"400","Gas",21330,2
"400","Gas",33600,1
"402","Gas",180418,1
"400","Gas",34200,1
"402","Gas",30180,1
"402","Oil",4161,1
"400","Oil",30032,1
"400","Oil",6203,1
"352","Gas",15984,1
"402","Gas",102799,2
"010","Gas",6090,2
"342","Gas",10496,2
"323","Gas",10418,1.5
"400","Gas",26448,1
"401","Gas",22354,1
"922","Gas",18900,2
"112","Gas",2046,1
"112","Gas",2340,1
"400","Gas",24312,1
"301","Electric",20656,2
"400","Gas",161964,1
"400","Gas",18120,1
"402","Gas",97797,1
"400","Gas",44695,1
"957","Gas",20511,2
"112","Gas",6390,2
"402","Gas",33520,1
"112","Electric",23120,3
"037","Electric",2100,1
"316","Gas",6600,1
"957","Gas",8190,1
"931","Electric",3220,NA
"915",NA,0,NA
"101","Oil",1470,1.5
"101","Oil",2862,1.75
"132",NA,0,NA
"915",NA,0,NA
"101","Oil",780,1
"132",NA,0,NA
"101","Oil",2157,1.5
"132",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"132",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"901",NA,0,NA
"101","Oil",1014,1
"601",NA,0,NA
"911",NA,0,NA
"915",NA,0,NA
"101","Oil",3187,1.5
"132",NA,0,NA
"132",NA,0,NA
"601",NA,0,NA
"915",NA,0,NA
"101","Oil",1200,1
"101","Oil",1588,1
"915",NA,0,NA
"101","Oil",1568,1
"915",NA,0,NA
"101","Oil",2243,1
"915",NA,0,NA
"101","Oil",2356,1.75
"101","Oil",1820,1
"101","Oil",1296,1.5
"101","Oil",1629,1
"101","Oil",960,1
"101","Oil",1470,1.75
"915",NA,0,NA
"101","Oil",1932,1.5
"101","Oil",1344,1.5
"101","Oil",1878,1.75
"101","Oil",2005,1
"915",NA,0,NA
"915",NA,0,NA
"101","Oil",2530,2
"101","Oil",2186,2
"101","Oil",2312,2
"101","Oil",2175,2
"915",NA,0,NA
"915",NA,0,NA
"101","Oil",2704,2
"101","Oil",1008,1
"101","Oil",1867,1.75
"101","Oil",1425,1.5
"101","Oil",2694,2.5
"101","Oil",2896,1.5
"101","Oil",1181,1.5
"101","Oil",1008,1
"975",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"101","Oil",2478,2
"601",NA,0,NA
"131",NA,0,NA
"132",NA,0,NA
"915",NA,0,NA
"101","Oil",1900,2
"101","Oil",2568,2
"915",NA,0,NA
"101","Oil",1616,2
"101","Oil",1334,1
"101","Oil",4512,2
"132",NA,0,NA
"915",NA,0,NA
"101","Oil",2432,2
"952",NA,NA,NA
"952",NA,NA,NA
"952",NA,NA,NA
"101","Oil",2240,2
"101","Oil",2052,1.5
"101","Oil",1040,1
"101","Oil",3001,1.5
"101","Oil",2832,2
"101","Oil",2276,2
"101","Gas",1316,1
"101","Oil",1134,1.5
"101","Oil",3038,2
"101","Oil",1840,1.5
"101","Oil",3384,1
"101","Oil",1764,1.75
"101","Oil",1080,1.5
"111","Oil",3930,2.5
"101","Oil",1680,1.5
"101","Oil",1196,1
"915",NA,0,NA
"915",NA,0,NA
"101","Propane",2260,1
"132",NA,0,NA
"915",NA,0,NA
"101","Oil",1890,1.75
"915",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"106",NA,0,NA
"101","Oil",1434,1
"915",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"915",NA,0,NA
"101","Oil",2604,1.75
"132",NA,0,NA
"101","Oil",1214,1
"101","Oil",2062,1.75
"101","Oil",2140,2
"101","Oil",1056,1
"101","Oil",4912,2
"101","Oil",2313,2
"101","Oil",3452,2
"130",NA,0,NA
"101","Gas",2091,1.75
"101","Gas",2900,2
"101","Gas",1620,1
"915",NA,0,NA
"101","Oil",2772,2
"101","Oil",1472,1
"101","Oil",1344,2
"915",NA,0,NA
"442",NA,0,NA
"101","Oil",3898,2
"101","Oil",2059,1.5
"101","Oil",1408,1
"915",NA,0,NA
"101","Oil",1480,1
"101","Oil",1536,1
"101","Oil",1152,1
"101","Oil",4058,2
"101","Oil",1536,1.5
"101","Oil",1828,2
"132",NA,0,NA
"101","Gas",864,1
"101","Gas",1456,1.5
"101","Gas",1957,1.5
"915",NA,0,NA
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",2052,1.5
"104","Gas",2552,1.5
"101","Oil",1560,1
"101","Oil",1224,1
"130",NA,NA,NA
"101","Gas",1020,1
"101","Oil",1392,1
"101","Oil",1056,1
"101","Oil",1356,1
"101","Oil",1176,1
"130",NA,0,NA
"101","Oil",2832,2
"915",NA,0,NA
"010","Oil",1675,1.5
"101","Oil",1320,1
"101","Oil",2126,1
"101","Gas",2120,2
"930",NA,0,NA
"101","Oil",1392,1
"101","Oil",2562,2
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1272,1.5
"915",NA,0,NA
"101","Oil",1064,1
"130",NA,0,NA
"132",NA,0,NA
"101","Oil",1276,1
"101","Oil",954,1
"101","Oil",1134,1
"101","Oil",1656,1.75
"915",NA,0,NA
"101","Oil",1056,1
"101","Oil",1036,1
"915",NA,0,NA
"915",NA,0,NA
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1161,1.5
"101","Oil",965,1.5
"101","Oil",1056,1
"101","Oil",2096,2
"101","Oil",1056,1
"101","Oil",1200,1
"101","Oil",1266,2
"101","Oil",1256,1
"105","Oil",2310,1.5
"130",NA,0,NA
"101","Oil",2016,2
"101","Oil",2716,1.75
"101","Oil",1056,1
"101","Oil",1440,1
"101","Oil",1300,1
"101","Oil",1170,1
"101","Oil",874,1
"101","Oil",1296,1
"101","Oil",1156,1
"101","Oil",3882,2.5
"101","Oil",1056,1
"101","Oil",924,1
"101","Oil",2624,2
"101","Oil",1956,1
"101","Oil",922,1.5
"101","Oil",848,1.5
"101","Oil",1092,1.5
"105","Oil",2806,2
"961","Oil",1264,2
"101","Oil",1658,1
"101","Oil",4170,2.5
"101","Oil",1613,1.75
"101","Oil",1336,1
"101","Oil",1460,1.75
"104","Oil",2828,2
"101","Oil",1904,1.5
"101","Oil",1152,1
"130",NA,0,NA
"101","Oil",2256,2
"101","Oil",2504,2
"101","Oil",2924,2
"101","Oil",3364,2
"915",NA,0,NA
"915",NA,0,NA
"101","Oil",3584,2
"101","Solar Assisted",2110,2
"101","Oil",2816,2
"130",NA,0,NA
"101","Oil",1944,2
"915",NA,0,NA
"106",NA,0,NA
"101","Electric",1474,1
"104","Oil",2558,2.5
"101","Oil",1601,1.5
"601",NA,0,NA
"101","Gas",1976,2
"101","Oil",2486,2
"101","Oil",1860,1.5
"101","Oil",2107,1.5
"101","Oil",1870,2
"915",NA,0,NA
"101","Oil",2232,2
"101","Oil",1740,1.5
"915",NA,0,NA
"101","Oil",1104,1
"101","Oil",1264,1
"101","Oil",2612,2
"101","Oil",1018,1
"010","Oil",2128,2
"101","Oil",1536,1
"101","Oil",2412,1.75
"101","Oil",1033,1
"101","Oil",1010,1
"910",NA,0,NA
"101","Oil",2228,2
"132",NA,0,NA
"101","Oil",2496,1.5
"101","Gas",2256,2
"132",NA,0,NA
"101","Electric",2755,2
"915",NA,0,NA
