"USECODE","FUELTYPE","AREASQ"
"316","Electric",12712
"316","Gas",17269
"316",NA,3000
"720","Gas",9000
"322","Gas",2594
"931","Gas",348
"971","Typical",1152
"934","Typical",53734
"316","Coal or Wood",576
"910","NONE",4211
"412","Oil",576
"412","Oil",0
"412","Oil",1568
"714","Electric",1500
"981","Typical",6450
"316","Coal or Wood",9520
"313","Typical",18000
"990","Typical",1464
"313","Coal or Wood",9600
"313","Coal or Wood",10100
"313","Coal or Wood",11850
"934","Typical",20880
"970","Typical",1600
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"970","Typical",1776
"322","Oil",2282
"341","Gas",1158
"341","Gas",1462
"989","Gas",2800
"341","Gas",2326
"341","Gas",8384
"340","Gas",10710
"402","Oil",3024
"400","Gas",2880
"400","Gas",18975
"971","Gas",9516
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"112","Oil",3696
"314","Coal or Wood",12024
"314","Oil",5280
"400","Gas",275103
"316","Oil",9000
"959","Typical",14616
"316","Oil",29184
"806","Coal or Wood",11450
"400","Oil",18984
"323","Oil",57197
"112","Oil",3640
"112","Oil",3640
"112","Oil",3640
"400","Oil",5000
"010","Gas",2093
"322","Gas",3390
"316","Oil",7340
"322","Oil",1412
"316","Oil",10000
"036","Oil",13104
"322","Gas",5000
"322","Gas",18204
"322","Gas",1044
"400","Oil",60167
"340","Gas",4000
"322","Electric",2480
"322","NONE",0
"322","NONE",0
"340","Gas",2450
"326","Gas",3671
"332","Oil",3140
"332","Oil",3140
"332","Oil",3140
"332","Oil",3140
"316","Gas",19000
"112","Oil",10881
"400","Oil",8240
"960","Oil",4348
"354","NONE",3348
"354","NONE",11220
"354","Gas",2400
"354","Gas",7500
"354","NONE",2016
"354","Electric",13860
"354","Electric",1080
"931","Gas",9506
"326","Gas",1822
"340","Gas",166
"340","Gas",501
"354","Gas",7350
"354","NONE",8575
"354","NONE",11150
"354","NONE",12425
"354","Gas",9313
"354","Gas",10575
"354","Gas",11592
"354","Gas",2750
"354","Oil",5412
"354","Gas",1375
"354","Gas",100
"354","Gas",261
"354","Oil",832
"931","Gas",6000
"931","Gas",15409
"931","Gas",300
"931","Gas",430
"997","Gas",9175
"997","Gas",1869
"340","Gas",6648
"960","Gas",43050
"316","Oil",2016
"316","Oil",4074
"316","Oil",4212
"322","Gas",4100
"322","Oil",4620
"316","Gas",96
"316","Gas",640105
"340","Gas",21740
"321","Oil",6720
"340","Gas",1975
"960","Gas",31662
"960","Gas",31662
"960","Typical",31662
"960","Typical",31662
"334","Gas",4513
"322","Gas",5513
"960","Typical",4414
"960","Typical",7924
"954","Typical",1924
"112","Gas",9480
"400","Oil",26400
"330","Oil",2720
"955","Gas",4250
"955","Gas",75042
"955","Gas",95291
"326","Oil",2010
"326","Oil",2288
"322","Oil",2746
"400","Gas",1640
"400","Gas",2161
"400","Gas",5940
"400","Gas",59627
"400","Gas",4312
"400","Gas",15385
"960","Oil",4275
"960","Oil",5778
"111","Electric",7280
"970","Typical",50745
"316","Oil",4752
"316","Oil",4752
"316","Oil",4752
"316","Oil",4752
"971","Typical",10928
"031","Oil",6480
"316","Oil",8288
"316","Oil",16200
"322","Gas",1176
"322","Oil",2397
"010","Gas",1406
"010","NONE",1663
"322","Gas",3374
"322","Oil",2520
"713","Typical",5442
"011","Oil",20672
"112","Oil",32556
"316","Gas",6612
"402","Gas",31780
"140","Oil",8216
"112","Oil",600
"112","Oil",2048
"112","Oil",17428
"112","Oil",17428
"112","Oil",17428
"112","Oil",17428
"112","Oil",18634
"112","Oil",20064
"112","Oil",20424
"112","Oil",20920
"112","Oil",20920
"112","Oil",21100
"112","Oil",24688
"112","Oil",24688
"332","Oil",2448
"935","Typical",5927
"957","Oil",1428
"959","Gas",2822
"337","Gas",0
"316","Oil",1938
"340","Gas",6110
"340","Oil",16302
"340","Oil",1680
"340","Oil",2800
"010","Gas",5232
"400","Gas",215179
"400","Gas",215179
"400","Gas",215179
"400","Gas",215179
"934","Typical",1980
"934","Typical",30691
"934","Typical",30691
